enrollment,admr,admw,fy,basis,doc_id,page,notes
,47844,57491,2015-16,actual-budgetary,budget-fy2019-20-book,21,"Revenue Factors table; October enrollment headcount not printed as a table (chart only, p195, p29)"
,48295,57776,2016-17,actual-budgetary,budget-fy2019-20-book,21,
,48371,57778,2017-18,actual-budgetary,budget-fy2019-20-book,21,
,48481,57627,2018-19,revised,budget-fy2019-20-book,21,latest estimate from ODE website / TSCC per p21 footnote
,48608,57762,2019-20,adopted,budget-fy2019-20-book,21,"latest estimate per p21 footnote; ADMw 57,762 also cited as budget assumption on p20"
