ssf_total_k,gp_grant_k,local_revenue_offset_k,fy,basis,doc_id,page,notes
179505.339,,,2014-15,actual-budgetary,budget-fy2017-18-book,89,"native unit whole dollars; account 431010 SSF General Support (GF cash receipts from State School Fund; excludes the local permanent-rate property tax offset retained locally); Common School Fund (431030) adopted separately at $6,190,000; grand-total/equalization grant split not printed"
211252.753,,,2015-16,actual-budgetary,budget-fy2017-18-book,89,
218306.690,,,2016-17,revised,budget-fy2017-18-book,89,
235502.000,,,2017-18,proposed,budget-fy2017-18-book,89,
235502.000,,,2017-18,approved,budget-fy2017-18-book,89,
235502.000,,,2017-18,adopted,budget-fy2017-18-book,89,
