imposed_k,collected_k,positions_funded,fy,basis,doc_id,page,notes
93037,,,2017-18,actual-budgetary,budget-fy2021-22-vol1,278,"Local Option Taxes Levied series from Total Taxes Levied chart (in thousands); positions funded by levy not printed in this book; budgeted local option collections 104,279 adopted 2021-22 (p.151); levy rate 1.9900 approved Nov 5 2019 for 2020-21 through 2024-25 (ED-50 p.378)"
98328,,,2018-19,actual-budgetary,budget-fy2021-22-vol1,278,Local Option Taxes Levied series from Total Taxes Levied chart (in thousands)
102044,,,2019-20,actual-budgetary,budget-fy2021-22-vol1,278,Local Option Taxes Levied series from Total Taxes Levied chart (in thousands)
105537,,,2020-21,revised,budget-fy2021-22-vol1,278,Local Option Taxes Levied series from Total Taxes Levied chart (in thousands)
108703,,,2021-22,adopted,budget-fy2021-22-vol1,278,Local Option Taxes Levied series from Total Taxes Levied chart (in thousands); printed as 2021-22 EST.
