ssf_total_k,gp_grant_k,local_revenue_offset_k,fy,basis,doc_id,page,notes
239804,,,2017-18,actual-budgetary,budget-fy2021-22-vol1,155,"object 431010 SSF--General Support, General Fund detail; grant is net of local property-tax offset per SSF formula; general purpose grant and local revenue offset components not printed in this book; Common School Fund (431030) printed separately: 5,048 adopted 2021-22"
225135,,,2018-19,actual-budgetary,budget-fy2021-22-vol1,155,
266607,,,2019-20,actual-budgetary,budget-fy2021-22-vol1,155,
267735,,,2020-21,revised,budget-fy2021-22-vol1,155,
256417,,,2021-22,proposed,budget-fy2021-22-vol1,155,
256417,,,2021-22,approved,budget-fy2021-22-vol1,155,
256417,,,2021-22,adopted,budget-fy2021-22-vol1,155,"budget assumption p.54: estimated SSF distribution based on $9.3B state K-12 budget at 49/51 split, PPS first-year share $246.35M"
