fy,group,fte,basis,cite
2024-25,All Funds - 1122 Non-Represented Staff,517.38,revised,budget-fy2025-26-vol1 p91
2024-25,All Funds - 113 Administrators,271.65,revised,budget-fy2025-26-vol1 p91
2024-25,All Funds - 2000 Support Services,2373.60,adopted,budget-fy2024-25-vol1 p92
2024-25,All Funds - 2000 Support Services,2373.60,revised,budget-fy2025-26-vol1 p90
2024-25,All Funds - 3000 Enterprise and Community Services,230.27,adopted,budget-fy2024-25-vol1 p92
2024-25,All Funds - 3000 Enterprise and Community Svcs,230.27,revised,budget-fy2025-26-vol1 p90
2024-25,All Funds - 4000 Facilities Acquisition and Construction,43.50,adopted,budget-fy2024-25-vol1 p92
2024-25,All Funds - 4000 Facilities Acquisition and Construction,43.50,revised,budget-fy2025-26-vol1 p90
2024-25,All Funds - Employee Type: 111 Licensed Salaries,3410.58,adopted,budget-fy2024-25-vol1 p93
2024-25,All Funds - Employee Type: 1121 Classified - Represented,1818.49,adopted,budget-fy2024-25-vol1 p93
2024-25,All Funds - Employee Type: 1122 Non-Represented Staff,517.38,adopted,budget-fy2024-25-vol1 p93
2024-25,All Funds - Employee Type: 113 Administrators,271.65,adopted,budget-fy2024-25-vol1 p93
2024-25,All Funds - Total,6018.09,adopted,budget-fy2024-25-vol1 p92
2024-25,All Funds - Total,6018.09,revised,budget-fy2025-26-vol1 p90
2024-25,Capital Projects Funds - Total,46.30,adopted,budget-fy2024-25-vol1 p156
2024-25,General Fund - 1000 Instruction,2868.48,adopted,budget-fy2024-25-vol1 p100
2024-25,General Fund - 1000 Instruction,2868.48,revised,budget-fy2025-26-vol1 p99
2024-25,General Fund - 111 Licensed Salaries,2945.09,revised,budget-fy2025-26-vol1 p100
2024-25,General Fund - 1121 Classified Represented,1328.73,revised,budget-fy2025-26-vol1 p100
2024-25,General Fund - 1122 Non-Represented Staff,389.67,revised,budget-fy2025-26-vol1 p100
2024-25,General Fund - 113 Administrators,248.12,revised,budget-fy2025-26-vol1 p100
2024-25,General Fund - 2000 Support Services,2024.97,adopted,budget-fy2024-25-vol1 p100
2024-25,General Fund - 2000 Support Services,2024.97,revised,budget-fy2025-26-vol1 p99
2024-25,General Fund - 3000 Enterprise and Community Services,18.15,adopted,budget-fy2024-25-vol1 p100
2024-25,General Fund - 3000 Enterprise and Community Svcs,18.15,revised,budget-fy2025-26-vol1 p99
2024-25,General Fund - Total,4911.60,adopted,budget-fy2024-25-vol1 p100
2024-25,General Fund - Total,4911.60,revised,budget-fy2025-26-vol1 p99
2024-25,Internal Service Funds - Total,4.00,adopted,budget-fy2024-25-vol1 p192
2024-25,Special Revenue Funds - Total,1056.19,adopted,budget-fy2024-25-vol1 p113
2024-25,Total - all functions (district FTE),1083.00,adopted,tscc-annual-report-2024-25-general p28
2024-25,Total - all functions (district FTE),12056.00,adopted,tscc-annual-report-2024-25-general p28
2024-25,Total - all functions (district FTE),124.00,adopted,tscc-annual-report-2024-25-general p28
2024-25,Total - all functions (district FTE),1358.00,adopted,tscc-annual-report-2024-25-general p28
2024-25,Total - all functions (district FTE),1579.00,adopted,tscc-annual-report-2024-25-general p28
2024-25,Total - all functions (district FTE),361.00,adopted,tscc-annual-report-2024-25-general p28
2024-25,Total - all functions (district FTE),6018.00,adopted,tscc-annual-report-2024-25-general p28
2024-25,Total - all functions (district FTE),6018.00,adopted,tscc-annual-report-2024-25-summaries p83
2024-25,Total - all functions (district FTE),6018.00,revised,tscc-review-fy2026 p3
2024-25,Total - all functions (district FTE),680.00,adopted,tscc-annual-report-2024-25-general p28
2024-25,Total - all functions (district FTE),69.00,adopted,tscc-annual-report-2024-25-general p28
2024-25,Total - all functions (district FTE),784.00,adopted,tscc-annual-report-2024-25-general p28
2024-25,Total - all functions (district FTE),784.00,adopted,tscc-annual-report-2024-25-summaries p79
2025,District Level Administration,4.00,actual-acfr,acfr-fy2025 p142
2025,Educational Assistants,677.40,actual-acfr,acfr-fy2025 p142
2025,Other Staff,2607.50,actual-acfr,acfr-fy2025 p142
2025,School Level Administration,167.20,actual-acfr,acfr-fy2025 p142
2025,Teachers,2665.70,actual-acfr,acfr-fy2025 p142
2025,Total FTE,6121.80,actual-acfr,acfr-fy2025 p142
2025-26,1000 Instruction - Fund 100 General Fund,2817.71,adopted,budget-fy2026-27-vol1 p109
2025-26,1000 Instruction - Fund 200 Special Revenue,443.07,adopted,budget-fy2026-27-vol1 p122
2025-26,1000 Instruction - all funds,3260.78,adopted,budget-fy2026-27-vol1 p92
2025-26,2000 Support Services - Fund 100 General Fund,1982.05,adopted,budget-fy2026-27-vol1 p109
2025-26,2000 Support Services - Fund 200 Special Revenue,306.06,adopted,budget-fy2026-27-vol1 p122
2025-26,2000 Support Services - all funds,2294.91,adopted,budget-fy2026-27-vol1 p92
2025-26,3000 Enterprise and Community Services - Fund 100 General Fund,17.75,adopted,budget-fy2026-27-vol1 p109
2025-26,3000 Enterprise and Community Services - Fund 200 Special Revenue,215.78,adopted,budget-fy2026-27-vol1 p122
2025-26,3000 Enterprise and Community Services - all funds,233.53,adopted,budget-fy2026-27-vol1 p92
2025-26,4000 Facilities Acquisition and Construction - all funds,46.25,adopted,budget-fy2026-27-vol1 p92
2025-26,All Funds - 1000 Instruction,3260.78,adopted,budget-fy2025-26-vol1 p90
2025-26,All Funds - 111 Licensed Salaries,3273.27,adopted,budget-fy2025-26-vol1 p91
2025-26,All Funds - 1121 Classified Represented,1822.57,adopted,budget-fy2025-26-vol1 p91
2025-26,All Funds - 1122 Non-Represented Staff,485.98,adopted,budget-fy2025-26-vol1 p91
2025-26,All Funds - 113 Administrators,253.65,adopted,budget-fy2025-26-vol1 p91
2025-26,All Funds - 2000 Support Services,2294.91,adopted,budget-fy2025-26-vol1 p90
2025-26,All Funds - 3000 Enterprise and Community Svcs,233.53,adopted,budget-fy2025-26-vol1 p90
2025-26,All Funds - 4000 Facilities Acquisition and Construction,46.25,adopted,budget-fy2025-26-vol1 p90
2025-26,All Funds - Total,5835.46,adopted,budget-fy2025-26-vol1 p90
2025-26,General Fund - 1000 Instruction,2817.71,adopted,budget-fy2025-26-vol1 p99
2025-26,General Fund - 111 Licensed Salaries,2840.89,adopted,budget-fy2025-26-vol1 p100
2025-26,General Fund - 1121 Classified Represented,1375.89,adopted,budget-fy2025-26-vol1 p100
2025-26,General Fund - 1122 Non-Represented Staff,367.53,adopted,budget-fy2025-26-vol1 p100
2025-26,General Fund - 113 Administrators,233.20,adopted,budget-fy2025-26-vol1 p100
2025-26,General Fund - 2000 Support Services,1982.05,adopted,budget-fy2025-26-vol1 p99
2025-26,General Fund - 3000 Enterprise and Community Svcs,17.75,adopted,budget-fy2025-26-vol1 p99
2025-26,General Fund - Total,4817.50,adopted,budget-fy2025-26-vol1 p99
2025-26,Total - Fund 100 General Fund,4817.50,adopted,budget-fy2026-27-vol1 p109
2025-26,Total - Fund 200 Special Revenue,964.91,adopted,budget-fy2026-27-vol1 p122
2025-26,Total - all functions (district FTE),5835.46,approved,tscc-review-fy2026 p1
2025-26,Total - all funds,5835.46,adopted,budget-fy2026-27-vol1 p92
2026-27,1000 Instruction - Fund 100 General Fund,2675.93,adopted,budget-fy2026-27-vol1 p109
2026-27,1000 Instruction - Fund 200 Special Revenue,496.18,adopted,budget-fy2026-27-vol1 p122
2026-27,1000 Instruction - all funds,3172.11,adopted,budget-fy2026-27-vol1 p92
2026-27,2000 Support Services - Fund 100 General Fund,1793.16,adopted,budget-fy2026-27-vol1 p109
2026-27,2000 Support Services - Fund 200 Special Revenue,293.74,adopted,budget-fy2026-27-vol1 p122
2026-27,2000 Support Services - all funds,2089.90,adopted,budget-fy2026-27-vol1 p92
2026-27,3000 Enterprise and Community Services - Fund 100 General Fund,12.25,adopted,budget-fy2026-27-vol1 p109
2026-27,3000 Enterprise and Community Services - Fund 200 Special Revenue,209.91,adopted,budget-fy2026-27-vol1 p122
2026-27,3000 Enterprise and Community Services - all funds,222.16,adopted,budget-fy2026-27-vol1 p92
2026-27,4000 Facilities Acquisition and Construction - all funds,29.00,adopted,budget-fy2026-27-vol1 p92
2026-27,Total - Fund 100 General Fund,4481.34,adopted,budget-fy2026-27-vol1 p109
2026-27,Total - Fund 200 Special Revenue,999.82,adopted,budget-fy2026-27-vol1 p122
2026-27,Total - all funds,5513.16,adopted,budget-fy2026-27-vol1 p92
