fy,group,fte,basis,cite
2018,District Level Administration,19.20,actual-acfr,acfr-fy2025 p143
2018,Educational Assistants,680.80,actual-acfr,acfr-fy2020 p136
2018,Educational Assistants,680.80,actual-acfr,acfr-fy2025 p143
2018,Other Staff,2275.20,actual-acfr,acfr-fy2020 p136
2018,Other Staff,2275.20,actual-acfr,acfr-fy2025 p143
2018,School Level Administration,167.30,actual-acfr,acfr-fy2020 p136
2018,School Level Administration,167.30,actual-acfr,acfr-fy2025 p143
2018,Teachers,2684.20,actual-acfr,acfr-fy2020 p136
2018,Teachers,2684.20,actual-acfr,acfr-fy2025 p143
2018,Total FTE,5826.70,actual-acfr,acfr-fy2020 p136
2018,Total FTE,5826.70,actual-acfr,acfr-fy2025 p143
2018-19,All Funds: TOTAL,5836.49,actual-budgetary,budget-fy2020-21-vol1 p248
2018-19,District Grand Total (FTE by Major Function and Employee Type),5836.49,actual-budgetary,budget-fy2021-22-vol1 p290
2018-19,District Grand Total (FTE by Major Function and Employee Type),5836.49,actual-budgetary,budget-fy2022-23-vol1 p282
2018-19,District grand total (all employee types),5836.49,revised,budget-fy2019-20-book p185
2018-19,Total Central Support,134.15,adopted,budget-fy2018-19-book p45
2018-19,Total Enterprise & Community Services,223.04,adopted,budget-fy2018-19-book p45
2018-19,Total FTE (all funds),5800.65,adopted,budget-fy2018-19-book p45
2018-19,Total FTE - Fund 101 General Fund,4999.79,adopted,budget-fy2018-19-book p45
2018-19,Total FTE - Fund 202 Cafeteria,188.05,adopted,budget-fy2018-19-book p45
2018-19,Total FTE - Fund 205 Grants,504.15,adopted,budget-fy2018-19-book p45
2018-19,Total FTE - Fund 299 Dedicated Resource,71.38,adopted,budget-fy2018-19-book p45
2018-19,Total FTE - Fund 450 GO Bonds,35.00,adopted,budget-fy2018-19-book p45
2018-19,Total FTE - Fund 601 Self Insurance,2.28,adopted,budget-fy2018-19-book p45
2018-19,Total Facilities Acquisition & Construction,35.00,adopted,budget-fy2018-19-book p45
2018-19,Total Instructional Programs,3402.78,adopted,budget-fy2018-19-book p45
2018-19,Total Instructional Support Services,918.14,adopted,budget-fy2018-19-book p45
2018-19,Total Support Services General Administration,1087.54,adopted,budget-fy2018-19-book p45
2019,District Level Administration,16.00,actual-acfr,acfr-fy2020 p136
2019,District Level Administration,16.00,actual-acfr,acfr-fy2025 p143
2019,Educational Assistants,647.10,actual-acfr,acfr-fy2020 p136
2019,Educational Assistants,647.10,actual-acfr,acfr-fy2025 p143
2019,Other Staff,2048.10,actual-acfr,acfr-fy2020 p136
2019,Other Staff,2048.10,actual-acfr,acfr-fy2025 p143
2019,School Level Administration,165.50,actual-acfr,acfr-fy2020 p136
2019,School Level Administration,165.50,actual-acfr,acfr-fy2025 p143
2019,Teachers,2697.30,actual-acfr,acfr-fy2020 p136
2019,Teachers,2697.30,actual-acfr,acfr-fy2025 p143
2019,Total FTE,5574.00,actual-acfr,acfr-fy2020 p136
2019,Total FTE,5574.00,actual-acfr,acfr-fy2025 p143
2019-20,1000 - Instruction (General Fund),3044.91,adopted,budget-fy2019-20-book p83
2019-20,1000 - Instruction (all funds),3439.77,adopted,budget-fy2019-20-book p74
2019-20,2000 - Support Services (General Fund),2043.46,adopted,budget-fy2019-20-book p83
2019-20,2000 - Support Services (all funds),2222.51,adopted,budget-fy2019-20-book p74
2019-20,3000 - Enterprise and Community Svcs (General Fund),13.38,adopted,budget-fy2019-20-book p83
2019-20,3000 - Enterprise and Community Svcs (all funds),241.05,adopted,budget-fy2019-20-book p74
2019-20,4000 - Facilities Acquisition and Construction (all funds),27.00,adopted,budget-fy2019-20-book p74
2019-20,All Funds - Grand Total (FTE by Major Function and Employee Type),5990.77,actual-budgetary,budget-fy2023-24-vol1 p220
2019-20,All Funds: 1000 Instruction,3439.77,revised,budget-fy2020-21-vol1 p109
2019-20,All Funds: 2000 Support Services,2222.51,revised,budget-fy2020-21-vol1 p109
2019-20,All Funds: 3000 Enterprise And Community Svcs,241.05,revised,budget-fy2020-21-vol1 p109
2019-20,All Funds: 4000 Facilities Acquisition And Con,27.00,revised,budget-fy2020-21-vol1 p109
2019-20,All Funds: TOTAL,5930.33,revised,budget-fy2020-21-vol1 p109
2019-20,District Grand Total (FTE by Major Function and Employee Type),5990.77,actual-budgetary,budget-fy2021-22-vol1 p290
2019-20,District Grand Total (FTE by Major Function and Employee Type),5990.77,actual-budgetary,budget-fy2022-23-vol1 p282
2019-20,District grand total (all employee types),5930.33,adopted,budget-fy2019-20-book p185
2019-20,Employee type - Administrators (all funds),301.21,adopted,budget-fy2019-20-book p183
2019-20,Employee type - Classified Represented (all funds),1838.55,adopted,budget-fy2019-20-book p183
2019-20,Employee type - Licensed Staff (all funds),3397.19,adopted,budget-fy2019-20-book p183
2019-20,Employee type - Non-Represented Staff (all funds),393.38,adopted,budget-fy2019-20-book p183
2019-20,Fund total - Capital Projects Funds (400),29.00,adopted,budget-fy2019-20-book p135
2019-20,Fund total - Internal Service Funds (600),2.28,adopted,budget-fy2019-20-book p163
2019-20,Fund total - Special Revenue Funds (200),797.30,adopted,budget-fy2019-20-book p95
2019-20,General Fund: 1000 Instruction,3044.91,revised,budget-fy2020-21-vol1 p118
2019-20,General Fund: 2000 Support Services,2043.46,revised,budget-fy2020-21-vol1 p118
2019-20,General Fund: 3000 Enterprise And Community Svcs,13.38,revised,budget-fy2020-21-vol1 p118
2019-20,General Fund: TOTAL,5101.75,revised,budget-fy2020-21-vol1 p118
2019-20,Grand Total all staff (all funds),5930.33,adopted,budget-fy2019-20-book p183
2019-20,Total (General Fund),5101.75,adopted,budget-fy2019-20-book p83
2019-20,Total (all funds),5930.33,adopted,budget-fy2019-20-book p74
2019-20,Total - all functions (district FTE),5991.00,actual-budgetary,tscc-review-fy2024 p3
2020,District Level Administration,4.00,actual-acfr,acfr-fy2020 p136
2020,District Level Administration,4.00,actual-acfr,acfr-fy2025 p143
2020,Educational Assistants,688.50,actual-acfr,acfr-fy2020 p136
2020,Educational Assistants,688.50,actual-acfr,acfr-fy2025 p143
2020,Other Staff,2234.40,actual-acfr,acfr-fy2020 p136
2020,Other Staff,2234.40,actual-acfr,acfr-fy2025 p143
2020,School Level Administration,172.50,actual-acfr,acfr-fy2020 p136
2020,School Level Administration,172.50,actual-acfr,acfr-fy2025 p143
2020,Teachers,2709.30,actual-acfr,acfr-fy2020 p136
2020,Teachers,2709.30,actual-acfr,acfr-fy2025 p143
2020,Total FTE,5808.70,actual-acfr,acfr-fy2020 p136
2020,Total FTE,5808.70,actual-acfr,acfr-fy2025 p143
2020-21,All Funds - 1000 Instruction,3488.04,revised,budget-fy2021-22-vol1 p143
2020-21,All Funds - 2000 Support Services,2398.41,revised,budget-fy2021-22-vol1 p143
2020-21,All Funds - 3000 Enterprise And Community Svcs,241.42,revised,budget-fy2021-22-vol1 p143
2020-21,All Funds - 4000 Facilities Acquisition And Con,40.80,revised,budget-fy2021-22-vol1 p143
2020-21,All Funds - Grand Total (FTE by Major Function and Employee Type),6627.38,actual-budgetary,budget-fy2023-24-vol1 p220
2020-21,All Funds - TOTAL,6168.67,revised,budget-fy2021-22-vol1 p143
2020-21,All Funds - Total,6630.58,actual-budgetary,budget-fy2024-25-vol1 p222
2020-21,All Funds: 1000 Instruction,3644.40,adopted,budget-fy2020-21-vol1 p109
2020-21,All Funds: 2000 Support Services,2425.70,adopted,budget-fy2020-21-vol1 p109
2020-21,All Funds: 3000 Enterprise And Community Svcs,237.17,adopted,budget-fy2020-21-vol1 p109
2020-21,All Funds: 4000 Facilities Acquisition And Con,40.80,adopted,budget-fy2020-21-vol1 p109
2020-21,All Funds: TOTAL,6348.07,adopted,budget-fy2020-21-vol1 p109
2020-21,District Grand Total (FTE by Major Function and Employee Type),6168.67,revised,budget-fy2021-22-vol1 p290
2020-21,District Grand Total (FTE by Major Function and Employee Type),6627.38,actual-budgetary,budget-fy2022-23-vol1 p282
2020-21,General Fund - 1000 Instruction,3047.75,revised,budget-fy2021-22-vol1 p152
2020-21,General Fund - 2000 Support Services,2094.57,revised,budget-fy2021-22-vol1 p152
2020-21,General Fund - 3000 Enterprise And Community Svcs,11.63,revised,budget-fy2021-22-vol1 p152
2020-21,General Fund - TOTAL,5153.95,revised,budget-fy2021-22-vol1 p152
2020-21,General Fund: 1000 Instruction,3106.24,adopted,budget-fy2020-21-vol1 p118
2020-21,General Fund: 2000 Support Services,2145.07,adopted,budget-fy2020-21-vol1 p118
