group,fte,fy,basis,doc_id,page,notes
Other Staff,1720.0,2014,actual-acfr,acfr-fy2020,135,Sch 15
Total FTE,4767.1,2014,actual-acfr,acfr-fy2020,135,Sch 15
Teachers,2606.8,2015,actual-acfr,acfr-fy2020,135,Sch 15
Educational Assistants,582.1,2015,actual-acfr,acfr-fy2020,135,Sch 15
School Level Administration,155.0,2015,actual-acfr,acfr-fy2020,135,Sch 15
District Level Administration,17.0,2015,actual-acfr,acfr-fy2020,135,Sch 15
Other Staff,2056.5,2015,actual-acfr,acfr-fy2020,135,Sch 15
Total FTE,5417.4,2015,actual-acfr,acfr-fy2020,135,Sch 15
Teachers,2632.5,2016,actual-acfr,acfr-fy2020,136,Sch 15
Educational Assistants,667.8,2016,actual-acfr,acfr-fy2020,136,Sch 15
School Level Administration,151.0,2016,actual-acfr,acfr-fy2020,136,Sch 15
District Level Administration,22.0,2016,actual-acfr,acfr-fy2020,136,Sch 15
Other Staff,1959.4,2016,actual-acfr,acfr-fy2020,136,Sch 15
Total FTE,5432.7,2016,actual-acfr,acfr-fy2020,136,Sch 15
Teachers,2737.7,2017,actual-acfr,acfr-fy2020,136,Sch 15
Educational Assistants,674.3,2017,actual-acfr,acfr-fy2020,136,Sch 15
School Level Administration,166.5,2017,actual-acfr,acfr-fy2020,136,Sch 15
District Level Administration,21.0,2017,actual-acfr,acfr-fy2020,136,Sch 15
Other Staff,2123.1,2017,actual-acfr,acfr-fy2020,136,Sch 15
Total FTE,5722.6,2017,actual-acfr,acfr-fy2020,136,Sch 15
Teachers,2684.2,2018,actual-acfr,acfr-fy2020,136,Sch 15
Educational Assistants,680.8,2018,actual-acfr,acfr-fy2020,136,Sch 15
School Level Administration,167.3,2018,actual-acfr,acfr-fy2020,136,Sch 15
District Level Administration,19.2,2018,actual-acfr,acfr-fy2020,136,Sch 15
Other Staff,2275.2,2018,actual-acfr,acfr-fy2020,136,Sch 15
Total FTE,5826.7,2018,actual-acfr,acfr-fy2020,136,Sch 15
Teachers,2697.3,2019,actual-acfr,acfr-fy2020,136,Sch 15
Educational Assistants,647.1,2019,actual-acfr,acfr-fy2020,136,Sch 15
School Level Administration,165.5,2019,actual-acfr,acfr-fy2020,136,Sch 15
District Level Administration,16.0,2019,actual-acfr,acfr-fy2020,136,Sch 15
Other Staff,2048.1,2019,actual-acfr,acfr-fy2020,136,Sch 15
Total FTE,5574.0,2019,actual-acfr,acfr-fy2020,136,Sch 15
Teachers,2709.3,2020,actual-acfr,acfr-fy2020,136,Sch 15
Educational Assistants,688.5,2020,actual-acfr,acfr-fy2020,136,Sch 15
School Level Administration,172.5,2020,actual-acfr,acfr-fy2020,136,Sch 15
District Level Administration,4.0,2020,actual-acfr,acfr-fy2020,136,Sch 15
Other Staff,2234.4,2020,actual-acfr,acfr-fy2020,136,Sch 15
Total FTE,5808.7,2020,actual-acfr,acfr-fy2020,136,Sch 15
