group,fte,fy,basis,doc_id,page,notes,fragment
All Funds - 3000 Enterprise And Community Svcs,240.83,2022-23,adopted,budget-fy2022-23-vol1,141,,fy2022-23
All Funds - 3000 Enterprise And Community Svcs,240.83,2022-23,adopted,budget-fy2023-24-vol1,87,,fy2023-24
All Funds - 4000 Facilities Acquisition And Con,48.8,2022-23,adopted,budget-fy2023-24-vol1,87,,fy2023-24
All Funds - 4000 Facilities Acquisition And Con,48.80,2022-23,adopted,budget-fy2022-23-vol1,141,,fy2022-23
All Funds - Grand Total (FTE by Major Function and Employee Type),6529.74,2022-23,adopted,budget-fy2023-24-vol1,220,column headed '2023 Adopted',fy2023-24
All Funds - Total,6519.66,2022-23,actual-budgetary,budget-fy2024-25-vol1,222,,fy2024-25
All Funds - TOTAL,6529.74,2022-23,adopted,budget-fy2022-23-vol1,141,,fy2022-23
All Funds - TOTAL,6529.74,2022-23,adopted,budget-fy2023-24-vol1,87,,fy2023-24
District Grand Total (FTE by Major Function and Employee Type),6529.74,2022-23,proposed,budget-fy2022-23-vol1,282,column headed '2023 Proposed' but total equals adopted-budget FTE printed on p141,fy2022-23
General Fund - 1000 Instruction,3035.94,2022-23,adopted,budget-fy2022-23-vol1,150,,fy2022-23
General Fund - 1000 Instruction,3035.94,2022-23,adopted,budget-fy2023-24-vol1,95,,fy2023-24
General Fund - 2000 Support Services,2169.42,2022-23,adopted,budget-fy2022-23-vol1,150,,fy2022-23
General Fund - 2000 Support Services,2169.42,2022-23,adopted,budget-fy2023-24-vol1,95,,fy2023-24
General Fund - 3000 Enterprise And Community Svcs,12.88,2022-23,adopted,budget-fy2022-23-vol1,150,,fy2022-23
General Fund - 3000 Enterprise And Community Svcs,12.88,2022-23,adopted,budget-fy2023-24-vol1,95,,fy2023-24
General Fund - TOTAL,5218.23,2022-23,adopted,budget-fy2023-24-vol1,95,,fy2023-24
General Fund - TOTAL,5218.24,2022-23,adopted,budget-fy2022-23-vol1,150,,fy2022-23
Total - all functions (district FTE),107,2022-23,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Corbett SD 39; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),1126,2022-23,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Gresham Barlow SD 10J; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),12408,2022-23,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Subtotal K-12; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),1336,2022-23,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Reynolds SD 7; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),1518,2022-23,actual-budgetary,tscc-annual-report-2024-25-general,28,district: David Douglas SD 40; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),339,2022-23,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Parkrose SD 3; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),6520,2022-23,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Portland SD 1J; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),6520,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,83,PPS,tscc
Total - all functions (district FTE),6520,2022-23,actual-budgetary,tscc-review-fy2026,3,"PPS; CONFLICT: FY24/FY25 reviews print 6,530",tscc
Total - all functions (district FTE),6530,2022-23,actual-budgetary,tscc-review-fy2025,3,"PPS; CONFLICT: 6,520 in FY26 review/annual report",tscc
Total - all functions (district FTE),6530,2022-23,revised,tscc-review-fy2024,3,PPS; then-current year,tscc
Total - all functions (district FTE),676,2022-23,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Multnomah ESD; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),712,2022-23,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Centennial SD 28J; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),74,2022-23,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Riverdale SD 51J; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),746,2022-23,actual-budgetary,tscc-annual-report-2024-25-summaries,79,district: Multnomah ESD; district General Information page; CONFLICTS with general p.28 for FY22-24 (641/676/710),tscc
District Level Administration,4.0,2023,actual-acfr,acfr-fy2025,142,Sch 15,acfr-statistical
Educational Assistants,675.9,2023,actual-acfr,acfr-fy2025,142,Sch 15,acfr-statistical
Other Staff,2595.8,2023,actual-acfr,acfr-fy2025,142,Sch 15,acfr-statistical
School Level Administration,179.0,2023,actual-acfr,acfr-fy2025,142,Sch 15,acfr-statistical
Teachers,2685.6,2023,actual-acfr,acfr-fy2025,142,Sch 15,acfr-statistical
Total FTE,6140.3,2023,actual-acfr,acfr-fy2025,142,Sch 15,acfr-statistical
All Funds - 1000 Instruction,3445.61,2023-24,adopted,budget-fy2023-24-vol1,87,,fy2023-24
All Funds - 1000 Instruction,3445.61,2023-24,adopted,budget-fy2024-25-vol1,92,"Budget FTE column of Summary of Requirements by Major Function - All Funds; 2023-24 columns are from the 2023-24 Adopted Budget (p78)",fy2024-25
All Funds - 2000 Support Services,2511.98,2023-24,adopted,budget-fy2023-24-vol1,87,,fy2023-24
All Funds - 2000 Support Services,2511.98,2023-24,adopted,budget-fy2024-25-vol1,92,,fy2024-25
All Funds - 3000 Enterprise and Community Services,238.87,2023-24,adopted,budget-fy2024-25-vol1,92,,fy2024-25
All Funds - 3000 Enterprise And Community Svcs,238.87,2023-24,adopted,budget-fy2023-24-vol1,87,,fy2023-24
All Funds - 4000 Facilities Acquisition And Con,50.0,2023-24,adopted,budget-fy2023-24-vol1,87,,fy2023-24
All Funds - 4000 Facilities Acquisition and Construction,50.00,2023-24,adopted,budget-fy2024-25-vol1,92,,fy2024-25
All Funds - Employee Type: 111 Licensed Salaries,3493.29,2023-24,adopted,budget-fy2024-25-vol1,93,"Budget FTE column of Summary of Requirements by Major Object - All Funds",fy2024-25
All Funds - Employee Type: 1121 Classified - Represented,1928.71,2023-24,adopted,budget-fy2024-25-vol1,93,,fy2024-25
All Funds - Employee Type: 1122 Non-Represented Staff,546.97,2023-24,adopted,budget-fy2024-25-vol1,93,,fy2024-25
All Funds - Employee Type: 113 Administrators,277.50,2023-24,adopted,budget-fy2024-25-vol1,93,,fy2024-25
All Funds - Grand Total (FTE by Major Function and Employee Type),6246.46,2023-24,proposed,budget-fy2023-24-vol1,220,column headed '2024 Proposed'; equals Budget FTE beside Adopted column on p87,fy2023-24
All Funds - TOTAL,6246.46,2023-24,adopted,budget-fy2023-24-vol1,87,,fy2023-24
All Funds - Total,6246.46,2023-24,adopted,budget-fy2024-25-vol1,92,"also grand total on p222",fy2024-25
Capital Projects Funds - Total,51.80,2023-24,adopted,budget-fy2024-25-vol1,156,,fy2024-25
General Fund - 1000 Instruction,2886.28,2023-24,adopted,budget-fy2023-24-vol1,95,,fy2023-24
General Fund - 1000 Instruction,2886.28,2023-24,adopted,budget-fy2024-25-vol1,100,"Budget FTE column of Summary of Requirements by Major Function - General Funds",fy2024-25
General Fund - 2000 Support Services,2139.72,2023-24,adopted,budget-fy2023-24-vol1,95,,fy2023-24
General Fund - 2000 Support Services,2139.72,2023-24,adopted,budget-fy2024-25-vol1,100,,fy2024-25
General Fund - 3000 Enterprise and Community Services,17.55,2023-24,adopted,budget-fy2024-25-vol1,100,,fy2024-25
General Fund - 3000 Enterprise And Community Svcs,17.55,2023-24,adopted,budget-fy2023-24-vol1,95,,fy2023-24
General Fund - TOTAL,5043.55,2023-24,adopted,budget-fy2023-24-vol1,95,,fy2023-24
General Fund - Total,5043.55,2023-24,adopted,budget-fy2024-25-vol1,100,,fy2024-25
Internal Service Funds - Total,2.28,2023-24,adopted,budget-fy2024-25-vol1,192,,fy2024-25
Special Revenue Funds - Total,1148.84,2023-24,adopted,budget-fy2024-25-vol1,113,"Budget FTE column of fund 200 requirements summary",fy2024-25
Total - all functions (district FTE),1121,2023-24,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Gresham Barlow SD 10J; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),113,2023-24,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Corbett SD 39; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),12316,2023-24,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Subtotal K-12; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),1382,2023-24,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Reynolds SD 7; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),1610,2023-24,actual-budgetary,tscc-annual-report-2024-25-general,28,district: David Douglas SD 40; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),357,2023-24,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Parkrose SD 3; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),6247,2023-24,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Portland SD 1J; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),6247,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,83,PPS,tscc
Total - all functions (district FTE),6247,2023-24,actual-budgetary,tscc-review-fy2026,3,PPS,tscc
Total - all functions (district FTE),6247,2023-24,revised,tscc-review-fy2025,3,PPS; then-current year,tscc
Total - all functions (district FTE),70,2023-24,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Riverdale SD 51J; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),706,2023-24,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Centennial SD 28J; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),710,2023-24,actual-budgetary,tscc-annual-report-2024-25-general,28,district: Multnomah ESD; countywide Staffing Levels table (FY22-FY25 columns),tscc
Total - all functions (district FTE),778,2023-24,actual-budgetary,tscc-annual-report-2024-25-summaries,79,district: Multnomah ESD; district General Information page; CONFLICTS with general p.28 for FY22-24 (641/676/710),tscc
District Level Administration,4.0,2024,actual-acfr,acfr-fy2025,142,Sch 15,acfr-statistical
Educational Assistants,693.0,2024,actual-acfr,acfr-fy2025,142,Sch 15,acfr-statistical
Other Staff,2628.4,2024,actual-acfr,acfr-fy2025,142,Sch 15,acfr-statistical
School Level Administration,169.5,2024,actual-acfr,acfr-fy2025,142,Sch 15,acfr-statistical
Teachers,2650.9,2024,actual-acfr,acfr-fy2025,142,Sch 15,acfr-statistical
Total FTE,6145.8,2024,actual-acfr,acfr-fy2025,142,Sch 15,acfr-statistical
All Funds - 1000 Instruction,3370.72,2024-25,adopted,budget-fy2024-25-vol1,92,,fy2024-25
All Funds - 1000 Instruction,3370.72,2024-25,revised,budget-fy2025-26-vol1,90,Budget FTE columns only (no FTE printed for actual years); column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
All Funds - 111 Licensed Salaries,3410.58,2024-25,revised,budget-fy2025-26-vol1,91,by-object employee-class FTE,fy2025-26
All Funds - 1121 Classified Represented,1818.49,2024-25,revised,budget-fy2025-26-vol1,91,,fy2025-26
All Funds - 1122 Non-Represented Staff,517.38,2024-25,revised,budget-fy2025-26-vol1,91,,fy2025-26
All Funds - 113 Administrators,271.65,2024-25,revised,budget-fy2025-26-vol1,91,,fy2025-26
All Funds - 2000 Support Services,2373.60,2024-25,adopted,budget-fy2024-25-vol1,92,,fy2024-25
All Funds - 2000 Support Services,2373.60,2024-25,revised,budget-fy2025-26-vol1,90,,fy2025-26
All Funds - 3000 Enterprise and Community Services,230.27,2024-25,adopted,budget-fy2024-25-vol1,92,,fy2024-25
All Funds - 3000 Enterprise and Community Svcs,230.27,2024-25,revised,budget-fy2025-26-vol1,90,,fy2025-26
All Funds - 4000 Facilities Acquisition and Construction,43.50,2024-25,adopted,budget-fy2024-25-vol1,92,,fy2024-25
All Funds - 4000 Facilities Acquisition and Construction,43.50,2024-25,revised,budget-fy2025-26-vol1,90,,fy2025-26
All Funds - Employee Type: 111 Licensed Salaries,3410.58,2024-25,adopted,budget-fy2024-25-vol1,93,,fy2024-25
All Funds - Employee Type: 1121 Classified - Represented,1818.49,2024-25,adopted,budget-fy2024-25-vol1,93,,fy2024-25
All Funds - Employee Type: 1122 Non-Represented Staff,517.38,2024-25,adopted,budget-fy2024-25-vol1,93,,fy2024-25
All Funds - Employee Type: 113 Administrators,271.65,2024-25,adopted,budget-fy2024-25-vol1,93,,fy2024-25
All Funds - Total,6018.09,2024-25,adopted,budget-fy2024-25-vol1,92,"also grand total on p222",fy2024-25
All Funds - Total,6018.09,2024-25,revised,budget-fy2025-26-vol1,90,,fy2025-26
Capital Projects Funds - Total,46.30,2024-25,adopted,budget-fy2024-25-vol1,156,,fy2024-25
General Fund - 1000 Instruction,2868.48,2024-25,adopted,budget-fy2024-25-vol1,100,,fy2024-25
General Fund - 1000 Instruction,2868.48,2024-25,revised,budget-fy2025-26-vol1,99,,fy2025-26
General Fund - 111 Licensed Salaries,2945.09,2024-25,revised,budget-fy2025-26-vol1,100,,fy2025-26
General Fund - 1121 Classified Represented,1328.73,2024-25,revised,budget-fy2025-26-vol1,100,,fy2025-26
General Fund - 1122 Non-Represented Staff,389.67,2024-25,revised,budget-fy2025-26-vol1,100,,fy2025-26
General Fund - 113 Administrators,248.12,2024-25,revised,budget-fy2025-26-vol1,100,,fy2025-26
General Fund - 2000 Support Services,2024.97,2024-25,adopted,budget-fy2024-25-vol1,100,,fy2024-25
General Fund - 2000 Support Services,2024.97,2024-25,revised,budget-fy2025-26-vol1,99,,fy2025-26
General Fund - 3000 Enterprise and Community Services,18.15,2024-25,adopted,budget-fy2024-25-vol1,100,,fy2024-25
General Fund - 3000 Enterprise and Community Svcs,18.15,2024-25,revised,budget-fy2025-26-vol1,99,,fy2025-26
General Fund - Total,4911.60,2024-25,adopted,budget-fy2024-25-vol1,100,,fy2024-25
General Fund - Total,4911.60,2024-25,revised,budget-fy2025-26-vol1,99,,fy2025-26
Internal Service Funds - Total,4.00,2024-25,adopted,budget-fy2024-25-vol1,192,,fy2024-25
Special Revenue Funds - Total,1056.19,2024-25,adopted,budget-fy2024-25-vol1,113,,fy2024-25
Total - all functions (district FTE),1083,2024-25,adopted,tscc-annual-report-2024-25-general,28,district: Gresham Barlow SD 10J; countywide Staffing Levels table (FY22-FY25 columns); FY25 = budgeted positions,tscc
Total - all functions (district FTE),12056,2024-25,adopted,tscc-annual-report-2024-25-general,28,district: Subtotal K-12; countywide Staffing Levels table (FY22-FY25 columns); FY25 = budgeted positions,tscc
Total - all functions (district FTE),124,2024-25,adopted,tscc-annual-report-2024-25-general,28,district: Corbett SD 39; countywide Staffing Levels table (FY22-FY25 columns); FY25 = budgeted positions,tscc
Total - all functions (district FTE),1358,2024-25,adopted,tscc-annual-report-2024-25-general,28,district: Reynolds SD 7; countywide Staffing Levels table (FY22-FY25 columns); FY25 = budgeted positions,tscc
Total - all functions (district FTE),1579,2024-25,adopted,tscc-annual-report-2024-25-general,28,district: David Douglas SD 40; countywide Staffing Levels table (FY22-FY25 columns); FY25 = budgeted positions,tscc
Total - all functions (district FTE),361,2024-25,adopted,tscc-annual-report-2024-25-general,28,district: Parkrose SD 3; countywide Staffing Levels table (FY22-FY25 columns); FY25 = budgeted positions,tscc
Total - all functions (district FTE),6018,2024-25,adopted,tscc-annual-report-2024-25-general,28,district: Portland SD 1J; countywide Staffing Levels table (FY22-FY25 columns); FY25 = budgeted positions,tscc
Total - all functions (district FTE),6018,2024-25,adopted,tscc-annual-report-2024-25-summaries,83,PPS; FY24-25 annual report budget year,tscc
Total - all functions (district FTE),6018,2024-25,revised,tscc-review-fy2026,3,"PPS; budgeted positions (narrative p.1: 6,018.09 FTE funded in FY2024-25 budget)",tscc
Total - all functions (district FTE),680,2024-25,adopted,tscc-annual-report-2024-25-general,28,district: Centennial SD 28J; countywide Staffing Levels table (FY22-FY25 columns); FY25 = budgeted positions,tscc
Total - all functions (district FTE),69,2024-25,adopted,tscc-annual-report-2024-25-general,28,district: Riverdale SD 51J; countywide Staffing Levels table (FY22-FY25 columns); FY25 = budgeted positions,tscc
Total - all functions (district FTE),784,2024-25,adopted,tscc-annual-report-2024-25-general,28,district: Multnomah ESD; countywide Staffing Levels table (FY22-FY25 columns); FY25 = budgeted positions,tscc
Total - all functions (district FTE),784,2024-25,adopted,tscc-annual-report-2024-25-summaries,79,district: Multnomah ESD; district General Information page; CONFLICTS with general p.28 for FY22-24 (641/676/710),tscc
District Level Administration,4.0,2025,actual-acfr,acfr-fy2025,142,Sch 15,acfr-statistical
Educational Assistants,677.4,2025,actual-acfr,acfr-fy2025,142,Sch 15,acfr-statistical
Other Staff,2607.5,2025,actual-acfr,acfr-fy2025,142,Sch 15,acfr-statistical
School Level Administration,167.2,2025,actual-acfr,acfr-fy2025,142,Sch 15,acfr-statistical
Teachers,2665.7,2025,actual-acfr,acfr-fy2025,142,"Sch 15; FTE (positions, not dollars); beginning FY2020 SPED staff reclassified from District Level to School Level Administration (Sch 15 note 1)",acfr-statistical
Total FTE,6121.8,2025,actual-acfr,acfr-fy2025,142,Sch 15,acfr-statistical
1000 Instruction - all funds,3260.78,2025-26,adopted,budget-fy2026-27-vol1,92,FTE as printed (not thousands); Budget FTE printed only for the Adopted 2025-26 and Adopted 2026-27 columns of the requirements-by-function tables; all-funds FTE down 322.3 from 2025-26 per narrative; granular FTE by function and employee type (5 years) at printed pp.228-229 (txt pp.235-236) is partially garbled in the text layer and was not extracted,fy2026-27
1000 Instruction - Fund 100 General Fund,2817.71,2025-26,adopted,budget-fy2026-27-vol1,109,,fy2026-27
1000 Instruction - Fund 200 Special Revenue,443.07,2025-26,adopted,budget-fy2026-27-vol1,122,,fy2026-27
2000 Support Services - all funds,2294.91,2025-26,adopted,budget-fy2026-27-vol1,92,,fy2026-27
2000 Support Services - Fund 100 General Fund,1982.05,2025-26,adopted,budget-fy2026-27-vol1,109,,fy2026-27
2000 Support Services - Fund 200 Special Revenue,306.06,2025-26,adopted,budget-fy2026-27-vol1,122,,fy2026-27
3000 Enterprise and Community Services - all funds,233.53,2025-26,adopted,budget-fy2026-27-vol1,92,,fy2026-27
3000 Enterprise and Community Services - Fund 100 General Fund,17.75,2025-26,adopted,budget-fy2026-27-vol1,109,,fy2026-27
3000 Enterprise and Community Services - Fund 200 Special Revenue,215.78,2025-26,adopted,budget-fy2026-27-vol1,122,,fy2026-27
4000 Facilities Acquisition and Construction - all funds,46.25,2025-26,adopted,budget-fy2026-27-vol1,92,,fy2026-27
All Funds - 1000 Instruction,3260.78,2025-26,adopted,budget-fy2025-26-vol1,90,,fy2025-26
All Funds - 111 Licensed Salaries,3273.27,2025-26,adopted,budget-fy2025-26-vol1,91,,fy2025-26
All Funds - 1121 Classified Represented,1822.57,2025-26,adopted,budget-fy2025-26-vol1,91,,fy2025-26
All Funds - 1122 Non-Represented Staff,485.98,2025-26,adopted,budget-fy2025-26-vol1,91,,fy2025-26
All Funds - 113 Administrators,253.65,2025-26,adopted,budget-fy2025-26-vol1,91,,fy2025-26
All Funds - 2000 Support Services,2294.91,2025-26,adopted,budget-fy2025-26-vol1,90,,fy2025-26
All Funds - 3000 Enterprise and Community Svcs,233.53,2025-26,adopted,budget-fy2025-26-vol1,90,,fy2025-26
All Funds - 4000 Facilities Acquisition and Construction,46.25,2025-26,adopted,budget-fy2025-26-vol1,90,,fy2025-26
All Funds - Total,5835.46,2025-26,adopted,budget-fy2025-26-vol1,90,net change -182.63 FTE vs 2024-25 (narrative says -182.6),fy2025-26
General Fund - 1000 Instruction,2817.71,2025-26,adopted,budget-fy2025-26-vol1,99,,fy2025-26
General Fund - 111 Licensed Salaries,2840.89,2025-26,adopted,budget-fy2025-26-vol1,100,,fy2025-26
General Fund - 1121 Classified Represented,1375.89,2025-26,adopted,budget-fy2025-26-vol1,100,,fy2025-26
General Fund - 1122 Non-Represented Staff,367.53,2025-26,adopted,budget-fy2025-26-vol1,100,,fy2025-26
General Fund - 113 Administrators,233.20,2025-26,adopted,budget-fy2025-26-vol1,100,,fy2025-26
General Fund - 2000 Support Services,1982.05,2025-26,adopted,budget-fy2025-26-vol1,99,,fy2025-26
General Fund - 3000 Enterprise and Community Svcs,17.75,2025-26,adopted,budget-fy2025-26-vol1,99,,fy2025-26
General Fund - Total,4817.50,2025-26,adopted,budget-fy2025-26-vol1,99,,fy2025-26
Total - all functions (district FTE),5835.46,2025-26,approved,tscc-review-fy2026,1,"PPS; Budget Highlights narrative: positions funded fall from 6,018.09 (FY24-25) to 5,835.46, a 182.63 FTE decrease; ~183 licensed positions cut (p.11)",tscc
Total - all funds,5835.46,2025-26,adopted,budget-fy2026-27-vol1,92,,fy2026-27
Total - Fund 100 General Fund,4817.5,2025-26,adopted,budget-fy2026-27-vol1,109,,fy2026-27
Total - Fund 200 Special Revenue,964.91,2025-26,adopted,budget-fy2026-27-vol1,122,,fy2026-27
1000 Instruction - all funds,3172.11,2026-27,adopted,budget-fy2026-27-vol1,92,,fy2026-27
1000 Instruction - Fund 100 General Fund,2675.93,2026-27,adopted,budget-fy2026-27-vol1,109,,fy2026-27
1000 Instruction - Fund 200 Special Revenue,496.18,2026-27,adopted,budget-fy2026-27-vol1,122,,fy2026-27
2000 Support Services - all funds,2089.9,2026-27,adopted,budget-fy2026-27-vol1,92,,fy2026-27
2000 Support Services - Fund 100 General Fund,1793.16,2026-27,adopted,budget-fy2026-27-vol1,109,,fy2026-27
2000 Support Services - Fund 200 Special Revenue,293.74,2026-27,adopted,budget-fy2026-27-vol1,122,,fy2026-27
3000 Enterprise and Community Services - all funds,222.16,2026-27,adopted,budget-fy2026-27-vol1,92,,fy2026-27
3000 Enterprise and Community Services - Fund 100 General Fund,12.25,2026-27,adopted,budget-fy2026-27-vol1,109,,fy2026-27
3000 Enterprise and Community Services - Fund 200 Special Revenue,209.91,2026-27,adopted,budget-fy2026-27-vol1,122,,fy2026-27
4000 Facilities Acquisition and Construction - all funds,29.0,2026-27,adopted,budget-fy2026-27-vol1,92,,fy2026-27
Total - all funds,5513.16,2026-27,adopted,budget-fy2026-27-vol1,92,,fy2026-27
Total - Fund 100 General Fund,4481.34,2026-27,adopted,budget-fy2026-27-vol1,109,,fy2026-27
Total - Fund 200 Special Revenue,999.82,2026-27,adopted,budget-fy2026-27-vol1,122,,fy2026-27
