object_code,label,amount_k,fy,basis,doc_id,page,notes,fragment
600,Other Objects,407988,2021-22,actual-budgetary,budget-fy2024-25-vol1,101,"2021 pension bond pass-through",fy2024-25
600,Other Objects,407988,2021-22,actual-budgetary,budget-fy2025-26-vol1,100,includes 2021-22 PERS UAL pension bond payoff,fy2025-26
600,Other Objects,7378,2021-22,proposed,budget-fy2021-22-vol1,153,,fy2021-22
600,Other Objects,9378,2021-22,adopted,budget-fy2021-22-vol1,153,,fy2021-22
600,Other Objects,9378,2021-22,adopted,budget-fy2022-23-vol1,151,,fy2022-23
600,Other Objects,9378,2021-22,approved,budget-fy2021-22-vol1,153,,fy2021-22
700,Transfers,1136,2021-22,adopted,budget-fy2021-22-vol1,153,,fy2021-22
700,Transfers,1136,2021-22,adopted,budget-fy2022-23-vol1,151,,fy2022-23
700,Transfers,1136,2021-22,approved,budget-fy2021-22-vol1,153,,fy2021-22
700,Transfers,1136,2021-22,proposed,budget-fy2021-22-vol1,153,,fy2021-22
700,Transfers,1207,2021-22,actual-budgetary,budget-fy2023-24-vol1,96,,fy2023-24
700,Transfers,1207,2021-22,actual-budgetary,budget-fy2024-25-vol1,101,,fy2024-25
700,Transfers,1207,2021-22,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
TOTAL,Total Requirements,1188261,2021-22,actual-budgetary,budget-fy2024-25-vol1,101,,fy2024-25
total,Total Requirements,1188261,2021-22,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
TOTAL,TOTAL REQUIREMENTS,761700,2021-22,proposed,budget-fy2021-22-vol1,153,,fy2021-22
TOTAL,TOTAL REQUIREMENTS,771963,2021-22,adopted,budget-fy2021-22-vol1,153,,fy2021-22
TOTAL,TOTAL REQUIREMENTS,771963,2021-22,approved,budget-fy2021-22-vol1,153,,fy2021-22
,TOTAL REQUIREMENTS,794585,2022-23,proposed,budget-fy2022-23-vol1,151,,fy2022-23
,TOTAL REQUIREMENTS,804062,2022-23,adopted,budget-fy2022-23-vol1,151,,fy2022-23
,TOTAL REQUIREMENTS,804062,2022-23,adopted,budget-fy2023-24-vol1,96,,fy2023-24
,TOTAL REQUIREMENTS,804062,2022-23,approved,budget-fy2022-23-vol1,151,,fy2022-23
100,Other Salaries,19448,2022-23,proposed,budget-fy2022-23-vol1,151,,fy2022-23
100,Other Salaries,20285,2022-23,adopted,budget-fy2022-23-vol1,151,,fy2022-23
100,Other Salaries,20285,2022-23,adopted,budget-fy2023-24-vol1,96,,fy2023-24
100,Other Salaries,20285,2022-23,approved,budget-fy2022-23-vol1,151,,fy2022-23
100,Other Salaries,28478,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,,fy2024-25
100,Other Salaries,28478,2022-23,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
100,Other Salaries,28478,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
111,Licensed Salaries,245309,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,,fy2024-25
111,Licensed Salaries,245309,2022-23,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
111,Licensed Salaries,245309,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,native unit thousands; PPS prints salary sub-objects 111/1121/1122/113 plus an uncoded 'OTHER SALARIES' line (recorded as code 100); dashes recorded as 0; salaries+benefits 2026-27 adopted = $680.5M / 78.9% of GF per narrative p.107; Proposed/Approved 2026-27 identical to Adopted,fy2026-27
111,Licensed Salaries,260343,2022-23,proposed,budget-fy2022-23-vol1,151,,fy2022-23
111,Licensed Salaries,263124,2022-23,adopted,budget-fy2022-23-vol1,151,,fy2022-23
111,Licensed Salaries,263124,2022-23,adopted,budget-fy2023-24-vol1,96,,fy2023-24
111,Licensed Salaries,263124,2022-23,approved,budget-fy2022-23-vol1,151,,fy2022-23
1121,Classified - Represented,58986,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,,fy2024-25
1121,Classified - Represented,58986,2022-23,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
1121,Classified - Represented,58986,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
1121,Classified - Represented,63156,2022-23,proposed,budget-fy2022-23-vol1,151,,fy2022-23
1121,Classified - Represented,64069,2022-23,adopted,budget-fy2022-23-vol1,151,,fy2022-23
1121,Classified - Represented,64069,2022-23,adopted,budget-fy2023-24-vol1,96,,fy2023-24
1121,Classified - Represented,64069,2022-23,approved,budget-fy2022-23-vol1,151,,fy2022-23
1122,Non - Represented Staff,37762,2022-23,adopted,budget-fy2022-23-vol1,151,,fy2022-23
1122,Non - Represented Staff,37762,2022-23,adopted,budget-fy2023-24-vol1,96,,fy2023-24
1122,Non - Represented Staff,37762,2022-23,approved,budget-fy2022-23-vol1,151,,fy2022-23
1122,Non - Represented Staff,37762,2022-23,proposed,budget-fy2022-23-vol1,151,,fy2022-23
1122,Non-Represented Staff,34823,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,,fy2024-25
1122,Non-Represented Staff,34823,2022-23,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
1122,Non-Represented Staff,34823,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
113,Administrators,33944,2022-23,adopted,budget-fy2022-23-vol1,151,,fy2022-23
113,Administrators,33944,2022-23,adopted,budget-fy2023-24-vol1,96,,fy2023-24
113,Administrators,33944,2022-23,approved,budget-fy2022-23-vol1,151,,fy2022-23
113,Administrators,33944,2022-23,proposed,budget-fy2022-23-vol1,151,,fy2022-23
113,Administrators,34163,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,,fy2024-25
113,Administrators,34163,2022-23,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
113,Administrators,34163,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
200,Associated Payroll Costs,188552,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,,fy2024-25
200,Associated Payroll Costs,188552,2022-23,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
200,Associated Payroll Costs,188552,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
200,Associated Payroll Costs,205360,2022-23,proposed,budget-fy2022-23-vol1,151,,fy2022-23
200,Associated Payroll Costs,207438,2022-23,adopted,budget-fy2022-23-vol1,151,,fy2022-23
200,Associated Payroll Costs,207438,2022-23,adopted,budget-fy2023-24-vol1,96,,fy2023-24
200,Associated Payroll Costs,207438,2022-23,approved,budget-fy2022-23-vol1,151,,fy2022-23
300,Purchased Services,106798,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,,fy2024-25
300,Purchased Services,106798,2022-23,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
300,Purchased Services,106798,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
300,Purchased Services,96956,2022-23,proposed,budget-fy2022-23-vol1,151,,fy2022-23
300,Purchased Services,99418,2022-23,adopted,budget-fy2022-23-vol1,151,,fy2022-23
300,Purchased Services,99418,2022-23,adopted,budget-fy2023-24-vol1,96,,fy2023-24
300,Purchased Services,99418,2022-23,approved,budget-fy2022-23-vol1,151,,fy2022-23
376520,Budgeted Ending Fund Balance,0,2022-23,adopted,budget-fy2023-24-vol1,96,,fy2023-24
376520,Budgeted Ending Fund Balance,105497,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,,fy2024-25
376520,Budgeted Ending Fund Balance,105497,2022-23,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
376520,Budgeted Ending Fund Balance,105497,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
400,Supplies And Materials,12641,2022-23,proposed,budget-fy2022-23-vol1,151,,fy2022-23
400,Supplies And Materials,12939,2022-23,adopted,budget-fy2022-23-vol1,151,,fy2022-23
400,Supplies And Materials,12939,2022-23,adopted,budget-fy2023-24-vol1,96,,fy2023-24
400,Supplies And Materials,12939,2022-23,approved,budget-fy2022-23-vol1,151,,fy2022-23
400,Supplies and Materials,14633,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,,fy2024-25
400,Supplies and Materials,14633,2022-23,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
400,Supplies and Materials,14633,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
500,Capital Outlay,3207,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,,fy2024-25
500,Capital Outlay,3207,2022-23,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
500,Capital Outlay,3207,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
500,Capital Outlay,3710,2022-23,proposed,budget-fy2022-23-vol1,151,,fy2022-23
500,Capital Outlay,4017,2022-23,adopted,budget-fy2022-23-vol1,151,,fy2022-23
500,Capital Outlay,4017,2022-23,adopted,budget-fy2023-24-vol1,96,,fy2023-24
500,Capital Outlay,4017,2022-23,approved,budget-fy2022-23-vol1,151,,fy2022-23
581000,Operating Contingency,0,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,"printed as dash",fy2024-25
581000,Operating Contingency,0,2022-23,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
581000,Operating Contingency,0,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
581000,Operating Contingency,50768,2022-23,adopted,budget-fy2022-23-vol1,151,,fy2022-23
581000,Operating Contingency,50768,2022-23,adopted,budget-fy2023-24-vol1,96,,fy2023-24
581000,Operating Contingency,50768,2022-23,approved,budget-fy2022-23-vol1,151,,fy2022-23
581000,Operating Contingency,50967,2022-23,proposed,budget-fy2022-23-vol1,151,,fy2022-23
600,Other Objects,8311,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,,fy2024-25
600,Other Objects,8311,2022-23,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
600,Other Objects,8311,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
600,Other Objects,8996,2022-23,adopted,budget-fy2022-23-vol1,151,,fy2022-23
600,Other Objects,8996,2022-23,adopted,budget-fy2023-24-vol1,96,,fy2023-24
600,Other Objects,8996,2022-23,approved,budget-fy2022-23-vol1,151,,fy2022-23
600,Other Objects,8996,2022-23,proposed,budget-fy2022-23-vol1,151,,fy2022-23
700,Transfers,1282,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,,fy2024-25
700,Transfers,1282,2022-23,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
700,Transfers,1282,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
700,Transfers,1302,2022-23,adopted,budget-fy2022-23-vol1,151,,fy2022-23
700,Transfers,1302,2022-23,adopted,budget-fy2023-24-vol1,96,,fy2023-24
700,Transfers,1302,2022-23,approved,budget-fy2022-23-vol1,151,,fy2022-23
700,Transfers,1302,2022-23,proposed,budget-fy2022-23-vol1,151,,fy2022-23
TOTAL,Total Requirements,830038,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,,fy2024-25
total,Total Requirements,830038,2022-23,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
,TOTAL REQUIREMENTS,823423,2023-24,proposed,budget-fy2023-24-vol1,96,,fy2023-24
,TOTAL REQUIREMENTS,833774,2023-24,adopted,budget-fy2023-24-vol1,96,,fy2023-24
,TOTAL REQUIREMENTS,833774,2023-24,approved,budget-fy2023-24-vol1,96,,fy2023-24
100,Other Salaries,24570,2023-24,proposed,budget-fy2023-24-vol1,96,,fy2023-24
100,Other Salaries,29665,2023-24,adopted,budget-fy2023-24-vol1,96,,fy2023-24
100,Other Salaries,29665,2023-24,adopted,budget-fy2024-25-vol1,101,,fy2024-25
100,Other Salaries,29665,2023-24,approved,budget-fy2023-24-vol1,96,,fy2023-24
100,Other Salaries,33157,2023-24,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
100,Other Salaries,33157,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
111,Licensed Salaries,259988,2023-24,proposed,budget-fy2023-24-vol1,96,,fy2023-24
111,Licensed Salaries,260283,2023-24,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
111,Licensed Salaries,260283,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
111,Licensed Salaries,260753,2023-24,adopted,budget-fy2023-24-vol1,96,,fy2023-24
111,Licensed Salaries,260753,2023-24,adopted,budget-fy2024-25-vol1,101,"2023-24 budget columns are from the 2023-24 Adopted Budget (p78)",fy2024-25
111,Licensed Salaries,260753,2023-24,approved,budget-fy2023-24-vol1,96,,fy2023-24
1121,Classified - Represented,61943,2023-24,proposed,budget-fy2023-24-vol1,96,,fy2023-24
1121,Classified - Represented,62573,2023-24,adopted,budget-fy2023-24-vol1,96,,fy2023-24
1121,Classified - Represented,62573,2023-24,adopted,budget-fy2024-25-vol1,101,,fy2024-25
1121,Classified - Represented,62573,2023-24,approved,budget-fy2023-24-vol1,96,,fy2023-24
1121,Classified - Represented,64252,2023-24,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
1121,Classified - Represented,64252,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
1122,Non - Represented Staff,38915,2023-24,proposed,budget-fy2023-24-vol1,96,,fy2023-24
1122,Non - Represented Staff,39863,2023-24,adopted,budget-fy2023-24-vol1,96,,fy2023-24
1122,Non - Represented Staff,39863,2023-24,approved,budget-fy2023-24-vol1,96,,fy2023-24
1122,Non-Represented Staff,36772,2023-24,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
1122,Non-Represented Staff,36772,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
1122,Non-Represented Staff,39863,2023-24,adopted,budget-fy2024-25-vol1,101,,fy2024-25
113,Administrators,37308,2023-24,adopted,budget-fy2023-24-vol1,96,,fy2023-24
113,Administrators,37308,2023-24,adopted,budget-fy2024-25-vol1,101,,fy2024-25
113,Administrators,37308,2023-24,approved,budget-fy2023-24-vol1,96,,fy2023-24
113,Administrators,37308,2023-24,proposed,budget-fy2023-24-vol1,96,,fy2023-24
113,Administrators,37512,2023-24,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
113,Administrators,37512,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
200,Associated Payroll Costs,206210,2023-24,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
200,Associated Payroll Costs,206210,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
200,Associated Payroll Costs,217977,2023-24,proposed,budget-fy2023-24-vol1,96,,fy2023-24
200,Associated Payroll Costs,220866,2023-24,adopted,budget-fy2023-24-vol1,96,,fy2023-24
200,Associated Payroll Costs,220866,2023-24,adopted,budget-fy2024-25-vol1,101,,fy2024-25
200,Associated Payroll Costs,220866,2023-24,approved,budget-fy2023-24-vol1,96,,fy2023-24
300,Purchased Services,110940,2023-24,adopted,budget-fy2023-24-vol1,96,,fy2023-24
300,Purchased Services,110940,2023-24,adopted,budget-fy2024-25-vol1,101,,fy2024-25
300,Purchased Services,110940,2023-24,approved,budget-fy2023-24-vol1,96,,fy2023-24
300,Purchased Services,110980,2023-24,proposed,budget-fy2023-24-vol1,96,,fy2023-24
300,Purchased Services,119699,2023-24,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
300,Purchased Services,119699,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
376520,Budgeted Ending Fund Balance,0,2023-24,adopted,budget-fy2023-24-vol1,96,,fy2023-24
376520,Budgeted Ending Fund Balance,0,2023-24,adopted,budget-fy2024-25-vol1,101,"printed as dash",fy2024-25
376520,Budgeted Ending Fund Balance,0,2023-24,approved,budget-fy2023-24-vol1,96,,fy2023-24
376520,Budgeted Ending Fund Balance,0,2023-24,proposed,budget-fy2023-24-vol1,96,,fy2023-24
376520,Budgeted Ending Fund Balance,86078,2023-24,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
376520,Budgeted Ending Fund Balance,86078,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
400,Supplies And Materials,14140,2023-24,proposed,budget-fy2023-24-vol1,96,,fy2023-24
400,Supplies And Materials,14151,2023-24,adopted,budget-fy2023-24-vol1,96,,fy2023-24
400,Supplies and Materials,14151,2023-24,adopted,budget-fy2024-25-vol1,101,,fy2024-25
400,Supplies And Materials,14151,2023-24,approved,budget-fy2023-24-vol1,96,,fy2023-24
400,Supplies and Materials,16856,2023-24,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
400,Supplies and Materials,16856,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
500,Capital Outlay,1829,2023-24,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
500,Capital Outlay,1829,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
500,Capital Outlay,3131,2023-24,proposed,budget-fy2023-24-vol1,96,,fy2023-24
500,Capital Outlay,3184,2023-24,adopted,budget-fy2023-24-vol1,96,,fy2023-24
500,Capital Outlay,3184,2023-24,adopted,budget-fy2024-25-vol1,101,,fy2024-25
500,Capital Outlay,3184,2023-24,approved,budget-fy2023-24-vol1,96,,fy2023-24
581000,Operating Contingency,0,2023-24,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
581000,Operating Contingency,0,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
581000,Operating Contingency,43063,2023-24,adopted,budget-fy2023-24-vol1,96,,fy2023-24
581000,Operating Contingency,43063,2023-24,adopted,budget-fy2024-25-vol1,101,,fy2024-25
581000,Operating Contingency,43063,2023-24,approved,budget-fy2023-24-vol1,96,,fy2023-24
581000,Operating Contingency,43063,2023-24,proposed,budget-fy2023-24-vol1,96,,fy2023-24
600,Other Objects,10333,2023-24,adopted,budget-fy2023-24-vol1,96,,fy2023-24
600,Other Objects,10333,2023-24,adopted,budget-fy2024-25-vol1,101,,fy2024-25
600,Other Objects,10333,2023-24,approved,budget-fy2023-24-vol1,96,,fy2023-24
600,Other Objects,10333,2023-24,proposed,budget-fy2023-24-vol1,96,,fy2023-24
600,Other Objects,9839,2023-24,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
600,Other Objects,9839,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
700,Transfers,1075,2023-24,adopted,budget-fy2023-24-vol1,96,,fy2023-24
700,Transfers,1075,2023-24,adopted,budget-fy2024-25-vol1,101,,fy2024-25
700,Transfers,1075,2023-24,approved,budget-fy2023-24-vol1,96,,fy2023-24
700,Transfers,1075,2023-24,proposed,budget-fy2023-24-vol1,96,,fy2023-24
700,Transfers,887,2023-24,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
700,Transfers,887,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
TOTAL,Total Requirements,833774,2023-24,adopted,budget-fy2024-25-vol1,101,,fy2024-25
total,Total Requirements,873375,2023-24,actual-budgetary,budget-fy2025-26-vol1,100,,fy2025-26
100,Other Salaries,14955,2024-25,adopted,budget-fy2024-25-vol1,101,,fy2024-25
100,Other Salaries,14955,2024-25,approved,budget-fy2024-25-vol1,101,,fy2024-25
100,Other Salaries,14955,2024-25,proposed,budget-fy2024-25-vol1,101,,fy2024-25
100,Other Salaries,14955,2024-25,revised,budget-fy2025-26-vol1,100,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
100,Other Salaries,33916,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
111,Licensed Salaries,274755,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
111,Licensed Salaries,278943,2024-25,adopted,budget-fy2024-25-vol1,101,"adopted FTE 2945.09",fy2024-25
111,Licensed Salaries,278943,2024-25,approved,budget-fy2024-25-vol1,101,,fy2024-25
111,Licensed Salaries,278943,2024-25,proposed,budget-fy2024-25-vol1,101,,fy2024-25
111,Licensed Salaries,278943,2024-25,revised,budget-fy2025-26-vol1,100,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
1121,Classified - Represented,66903,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
1121,Classified - Represented,68871,2024-25,adopted,budget-fy2024-25-vol1,101,"adopted FTE 1328.73",fy2024-25
1121,Classified - Represented,68871,2024-25,approved,budget-fy2024-25-vol1,101,,fy2024-25
1121,Classified - Represented,68871,2024-25,proposed,budget-fy2024-25-vol1,101,,fy2024-25
1121,Classified - Represented,68871,2024-25,revised,budget-fy2025-26-vol1,100,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
1122,Non-Represented Staff,38493,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
1122,Non-Represented Staff,40803,2024-25,adopted,budget-fy2024-25-vol1,101,"adopted FTE 389.67",fy2024-25
1122,Non-Represented Staff,40803,2024-25,approved,budget-fy2024-25-vol1,101,,fy2024-25
1122,Non-Represented Staff,40803,2024-25,revised,budget-fy2025-26-vol1,100,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
1122,Non-Represented Staff,40939,2024-25,proposed,budget-fy2024-25-vol1,101,,fy2024-25
113,Administrators,38979,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
113,Administrators,39741,2024-25,adopted,budget-fy2024-25-vol1,101,"adopted FTE 248.12",fy2024-25
113,Administrators,39741,2024-25,approved,budget-fy2024-25-vol1,101,,fy2024-25
113,Administrators,39741,2024-25,revised,budget-fy2025-26-vol1,100,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
113,Administrators,40210,2024-25,proposed,budget-fy2024-25-vol1,101,,fy2024-25
200,Associated Payroll Costs,212696,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
200,Associated Payroll Costs,223481,2024-25,adopted,budget-fy2024-25-vol1,101,,fy2024-25
200,Associated Payroll Costs,223481,2024-25,approved,budget-fy2024-25-vol1,101,,fy2024-25
200,Associated Payroll Costs,223481,2024-25,revised,budget-fy2025-26-vol1,100,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
200,Associated Payroll Costs,223683,2024-25,proposed,budget-fy2024-25-vol1,101,,fy2024-25
300,Purchased Services,109389,2024-25,proposed,budget-fy2024-25-vol1,101,,fy2024-25
300,Purchased Services,111439,2024-25,adopted,budget-fy2024-25-vol1,101,,fy2024-25
300,Purchased Services,111439,2024-25,approved,budget-fy2024-25-vol1,101,,fy2024-25
300,Purchased Services,111439,2024-25,revised,budget-fy2025-26-vol1,100,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
300,Purchased Services,117095,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
376520,Budgeted Ending Fund Balance,0,2024-25,adopted,budget-fy2024-25-vol1,101,"printed as dash",fy2024-25
376520,Budgeted Ending Fund Balance,0,2024-25,approved,budget-fy2024-25-vol1,101,"printed as dash",fy2024-25
376520,Budgeted Ending Fund Balance,0,2024-25,proposed,budget-fy2024-25-vol1,101,"printed as dash",fy2024-25
376520,Budgeted Ending Fund Balance,0,2024-25,revised,budget-fy2025-26-vol1,100,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
376520,Budgeted Ending Fund Balance,44323,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
400,Supplies and Materials,13783,2024-25,proposed,budget-fy2024-25-vol1,101,,fy2024-25
400,Supplies and Materials,13886,2024-25,adopted,budget-fy2024-25-vol1,101,,fy2024-25
400,Supplies and Materials,13886,2024-25,approved,budget-fy2024-25-vol1,101,,fy2024-25
400,Supplies and Materials,13886,2024-25,revised,budget-fy2025-26-vol1,100,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
400,Supplies and Materials,14878,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
500,Capital Outlay,3035,2024-25,adopted,budget-fy2024-25-vol1,101,,fy2024-25
500,Capital Outlay,3035,2024-25,approved,budget-fy2024-25-vol1,101,,fy2024-25
500,Capital Outlay,3035,2024-25,proposed,budget-fy2024-25-vol1,101,,fy2024-25
500,Capital Outlay,3035,2024-25,revised,budget-fy2025-26-vol1,100,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
500,Capital Outlay,938,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
581000,Operating Contingency,0,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
581000,Operating Contingency,40856,2024-25,adopted,budget-fy2024-25-vol1,101,,fy2024-25
581000,Operating Contingency,40856,2024-25,approved,budget-fy2024-25-vol1,101,,fy2024-25
581000,Operating Contingency,40856,2024-25,revised,budget-fy2025-26-vol1,100,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
581000,Operating Contingency,42656,2024-25,proposed,budget-fy2024-25-vol1,101,,fy2024-25
600,Other Objects,2214,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
600,Other Objects,2488,2024-25,adopted,budget-fy2024-25-vol1,101,,fy2024-25
600,Other Objects,2488,2024-25,approved,budget-fy2024-25-vol1,101,,fy2024-25
600,Other Objects,2488,2024-25,revised,budget-fy2025-26-vol1,100,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
600,Other Objects,4730,2024-25,proposed,budget-fy2024-25-vol1,101,,fy2024-25
700,Transfers,10643,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,,fy2026-27
700,Transfers,11918,2024-25,proposed,budget-fy2024-25-vol1,101,,fy2024-25
700,Transfers,15896,2024-25,adopted,budget-fy2024-25-vol1,101,,fy2024-25
700,Transfers,15896,2024-25,approved,budget-fy2024-25-vol1,101,,fy2024-25
700,Transfers,15896,2024-25,revised,budget-fy2025-26-vol1,100,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
TOTAL,Total Requirements,853111,2024-25,proposed,budget-fy2024-25-vol1,101,,fy2024-25
TOTAL,Total Requirements,854394,2024-25,adopted,budget-fy2024-25-vol1,101,"total adopted GF FTE 4911.60",fy2024-25
TOTAL,Total Requirements,854394,2024-25,approved,budget-fy2024-25-vol1,101,,fy2024-25
total,Total Requirements,854394,2024-25,revised,budget-fy2025-26-vol1,100,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book),fy2025-26
100,Other Salaries,13887,2025-26,adopted,budget-fy2025-26-vol1,100,,fy2025-26
100,Other Salaries,13887,2025-26,adopted,budget-fy2026-27-vol1,110,,fy2026-27
100,Other Salaries,13887,2025-26,approved,budget-fy2025-26-vol1,100,,fy2025-26
100,Other Salaries,13887,2025-26,proposed,budget-fy2025-26-vol1,100,,fy2025-26
111,Licensed Salaries,280529,2025-26,adopted,budget-fy2025-26-vol1,100,,fy2025-26
111,Licensed Salaries,280529,2025-26,adopted,budget-fy2026-27-vol1,110,,fy2026-27
111,Licensed Salaries,280529,2025-26,approved,budget-fy2025-26-vol1,100,,fy2025-26
111,Licensed Salaries,280529,2025-26,proposed,budget-fy2025-26-vol1,100,,fy2025-26
1121,Classified - Represented,69907,2025-26,adopted,budget-fy2025-26-vol1,100,,fy2025-26
1121,Classified - Represented,69907,2025-26,adopted,budget-fy2026-27-vol1,110,,fy2026-27
1121,Classified - Represented,69907,2025-26,approved,budget-fy2025-26-vol1,100,,fy2025-26
1121,Classified - Represented,69907,2025-26,proposed,budget-fy2025-26-vol1,100,,fy2025-26
1122,Non-Represented Staff,39886,2025-26,adopted,budget-fy2025-26-vol1,100,,fy2025-26
