fund_name,resources_k,requirements_k,fy,basis,doc_id,page,notes,fragment
307 IT Projects Debt Service Fund,,2708.168,2017-18,adopted,budget-fy2017-18-book,65,,fy2017-18
307 IT Projects Debt Service Fund,,2708.168,2017-18,approved,budget-fy2017-18-book,65,,fy2017-18
307 IT Projects Debt Service Fund,,2708.168,2017-18,proposed,budget-fy2017-18-book,65,,fy2017-18
307 IT Projects Debt Service Fund,2708.168,2708.168,2017-18,revised,budget-fy2018-19-book,114,,fy2018-19
308 - PERS UAL Debt Service Fund,48782,48782,2017-18,actual-budgetary,budget-fy2020-21-vol1,178,,fy2020-21
308 PERS UAL Debt Service Fund,,46878.306,2017-18,adopted,budget-fy2017-18-book,65,,fy2017-18
308 PERS UAL Debt Service Fund,,46878.306,2017-18,approved,budget-fy2017-18-book,65,,fy2017-18
308 PERS UAL Debt Service Fund,,46878.306,2017-18,proposed,budget-fy2017-18-book,65,,fy2017-18
308 PERS UAL Debt Service Fund,47515.450,47515.450,2017-18,revised,budget-fy2018-19-book,115,,fy2018-19
320 - Full Faith and Credit Debt Service Fund,1860,1860,2017-18,actual-budgetary,budget-fy2020-21-vol1,181,,fy2020-21
320 Full Faith and Credit Debt Service Fund,,2484.707,2017-18,adopted,budget-fy2017-18-book,65,,fy2017-18
320 Full Faith and Credit Debt Service Fund,,2484.707,2017-18,approved,budget-fy2017-18-book,65,,fy2017-18
320 Full Faith and Credit Debt Service Fund,,2484.707,2017-18,proposed,budget-fy2017-18-book,65,,fy2017-18
320 Full Faith and Credit Debt Service Fund,1859.707,1859.707,2017-18,revised,budget-fy2018-19-book,116,,fy2018-19
350 - GO Bonds Debt Service Fund,120259,120259,2017-18,actual-budgetary,budget-fy2020-21-vol1,184,,fy2020-21
350 GO Bonds Debt Service Fund,119539.530,119539.530,2017-18,revised,budget-fy2018-19-book,117,,fy2018-19
350 GO Bonds Debt Service Funds,,118526.948,2017-18,adopted,budget-fy2017-18-book,65,,fy2017-18
350 GO Bonds Debt Service Funds,,118526.948,2017-18,approved,budget-fy2017-18-book,65,,fy2017-18
350 GO Bonds Debt Service Funds,,118526.948,2017-18,proposed,budget-fy2017-18-book,65,,fy2017-18
404 - Construction Excise Fund,27830,27830,2017-18,actual-budgetary,budget-fy2020-21-vol1,191,,fy2020-21
404 Construction Excise Fund,,23529.981,2017-18,adopted,budget-fy2017-18-book,65,,fy2017-18
404 Construction Excise Fund,,23529.981,2017-18,approved,budget-fy2017-18-book,65,,fy2017-18
404 Construction Excise Fund,,23529.981,2017-18,proposed,budget-fy2017-18-book,65,,fy2017-18
404 Construction Excise Fund,23529.981,23529.981,2017-18,revised,budget-fy2018-19-book,118,,fy2018-19
407 - IT System Project Fund,1271,1271,2017-18,actual-budgetary,budget-fy2020-21-vol1,195,2020-21 printed as '-',fy2020-21
407 IT System Project Fund,,1319.500,2017-18,adopted,budget-fy2017-18-book,65,,fy2017-18
407 IT System Project Fund,,1319.500,2017-18,approved,budget-fy2017-18-book,65,,fy2017-18
407 IT System Project Fund,,1319.500,2017-18,proposed,budget-fy2017-18-book,65,,fy2017-18
407 IT System Project Fund,1364.566,1364.566,2017-18,revised,budget-fy2018-19-book,120,,fy2018-19
420 - Full Faith and Credit Fund,10365,10365,2017-18,actual-budgetary,budget-fy2020-21-vol1,198,,fy2020-21
420 Full Faith and Credit Fund,,3000.000,2017-18,adopted,budget-fy2017-18-book,65,,fy2017-18
420 Full Faith and Credit Fund,,3000.000,2017-18,approved,budget-fy2017-18-book,65,,fy2017-18
420 Full Faith and Credit Fund,,3000.000,2017-18,proposed,budget-fy2017-18-book,65,,fy2017-18
420 Full Faith and Credit Fund,10364.791,10364.791,2017-18,revised,budget-fy2018-19-book,122,,fy2018-19
435 - Energy Efficient Schools Fund,3702,3702,2017-18,actual-budgetary,budget-fy2020-21-vol1,202,,fy2020-21
435 Energy Efficient Schools Fund,,2694.273,2017-18,adopted,budget-fy2017-18-book,65,,fy2017-18
435 Energy Efficient Schools Fund,,2694.273,2017-18,approved,budget-fy2017-18-book,65,,fy2017-18
435 Energy Efficient Schools Fund,,2694.273,2017-18,proposed,budget-fy2017-18-book,65,,fy2017-18
435 Energy Efficient Schools Fund,2694.273,2694.273,2017-18,revised,budget-fy2018-19-book,124,,fy2018-19
438 - Facilities Capital Fund,3237,3237,2017-18,actual-budgetary,budget-fy2020-21-vol1,205,,fy2020-21
438 Facilities Capital Fund,,2818.730,2017-18,proposed,budget-fy2017-18-book,65,,fy2017-18
438 Facilities Capital Fund,,3002.687,2017-18,adopted,budget-fy2017-18-book,65,,fy2017-18
438 Facilities Capital Fund,,3002.687,2017-18,approved,budget-fy2017-18-book,65,,fy2017-18
438 Facilities Capital Fund,3002.687,3002.687,2017-18,revised,budget-fy2018-19-book,125,,fy2018-19
445 - Capital Asset Renewal Fund,4916,4916,2017-18,actual-budgetary,budget-fy2020-21-vol1,209,,fy2020-21
445 Capital Asset Renewal Fund,,4248.699,2017-18,adopted,budget-fy2017-18-book,65,,fy2017-18
445 Capital Asset Renewal Fund,,4248.699,2017-18,approved,budget-fy2017-18-book,65,,fy2017-18
445 Capital Asset Renewal Fund,,4248.699,2017-18,proposed,budget-fy2017-18-book,65,,fy2017-18
445 Capital Asset Renewal Fund,4248.699,4248.699,2017-18,revised,budget-fy2018-19-book,127,,fy2018-19
450 - GO Bonds Fund,538505,538505,2017-18,actual-budgetary,budget-fy2020-21-vol1,212,Approved/Adopted include $1.0B placeholder for possible Nov 2020 bond measure,fy2020-21
450 GO Bonds Fund,596278.655,596278.655,2017-18,revised,budget-fy2018-19-book,128,,fy2018-19
450 GO Bonds,,596278.655,2017-18,adopted,budget-fy2017-18-book,65,,fy2017-18
450 GO Bonds,,596278.655,2017-18,approved,budget-fy2017-18-book,65,,fy2017-18
450 GO Bonds,,596278.655,2017-18,proposed,budget-fy2017-18-book,65,,fy2017-18
470 - Partnership Funds,1016,1016,2017-18,actual-budgetary,budget-fy2020-21-vol1,217,,fy2020-21
470 Partnership Funds,,4263.800,2017-18,adopted,budget-fy2017-18-book,65,,fy2017-18
470 Partnership Funds,,4263.800,2017-18,approved,budget-fy2017-18-book,65,,fy2017-18
470 Partnership Funds,,4263.800,2017-18,proposed,budget-fy2017-18-book,65,,fy2017-18
470 Partnership Funds,4263.800,4263.800,2017-18,revised,budget-fy2018-19-book,131,,fy2018-19
601 - Self-Insurance Fund,8580,8580,2017-18,actual-budgetary,budget-fy2020-21-vol1,228,,fy2020-21
601 Self Insurance Fund,,9125.900,2017-18,adopted,budget-fy2017-18-book,65,,fy2017-18
601 Self Insurance Fund,,9125.900,2017-18,approved,budget-fy2017-18-book,65,,fy2017-18
601 Self Insurance Fund,,9125.900,2017-18,proposed,budget-fy2017-18-book,65,,fy2017-18
601 Self Insurance Fund,9125.900,9125.900,2017-18,revised,budget-fy2018-19-book,132,,fy2018-19
All Funds Total,1537607,1537607,2017-18,actual-budgetary,budget-fy2019-20-book,73,"resources p73, requirements p74; res/req differ by rounding in 2019-20 columns per book's own rounding note",fy2019-20
Cafeteria Fund (202),23206,23206,2017-18,actual-budgetary,budget-fy2019-20-book,100,requirements totals also printed p101,fy2019-20
Capital Asset Renewal Fund (445),4916,4916,2017-18,actual-budgetary,budget-fy2019-20-book,151,,fy2019-20
Capital Project Funds (400),590841,590841,2017-18,actual-budgetary,budget-fy2021-22-vol1,227,requirements from PDF p.229 of same doc,fy2021-22
Capital Projects Funds (400),590841,590841,2017-18,actual-budgetary,budget-fy2019-20-book,134,"resources p134, requirements p135",fy2019-20
Construction Excise Fund (404),27830,27830,2017-18,actual-budgetary,budget-fy2019-20-book,138,requirements totals also printed p139,fy2019-20
Debt Service Funds (300),173608,173608,2017-18,actual-budgetary,budget-fy2019-20-book,120,"resources p120, requirements p121",fy2019-20
Debt Service Funds (300),173608,173608,2017-18,actual-budgetary,budget-fy2021-22-vol1,208,requirements from PDF p.209 of same doc,fy2021-22
Dedicated Resource Fund (299),18858,18858,2017-18,actual-budgetary,budget-fy2019-20-book,112,,fy2019-20
Energy Efficient Schools Fund (435),3702,3702,2017-18,actual-budgetary,budget-fy2019-20-book,146,,fy2019-20
Facilities Capital Fund (438),3237,3237,2017-18,actual-budgetary,budget-fy2019-20-book,148,requirements totals also printed p149,fy2019-20
Full Faith and Credit Debt Service Fund (320),1860,1860,2017-18,actual-budgetary,budget-fy2019-20-book,130,,fy2019-20
Full Faith and Credit Fund (420),10365,10365,2017-18,actual-budgetary,budget-fy2019-20-book,143,requirements totals also printed p144,fy2019-20
General Fund (100),633966,633966,2017-18,actual-budgetary,budget-fy2019-20-book,82,"resources p82, requirements p83; approved/adopted res 691,769 vs req 691,767 is book rounding",fy2019-20
General Fund (100),633966,633966,2017-18,actual-budgetary,budget-fy2021-22-vol1,151,native unit thousands of dollars; requirements from PDF p.152 of same doc,fy2021-22
GO Bonds Debt Service Fund (350),120259,120259,2017-18,actual-budgetary,budget-fy2019-20-book,132,,fy2019-20
GO Bonds Fund (450),538505,538505,2017-18,actual-budgetary,budget-fy2019-20-book,153,requirements totals also printed p154,fy2019-20
Grants Fund (205),59778,59778,2017-18,actual-budgetary,budget-fy2019-20-book,103,1k res/req rounding gap in 2019-20 columns,fy2019-20
Internal Service Funds (600),8580,8580,2017-18,actual-budgetary,budget-fy2019-20-book,162,"resources p162, requirements p163",fy2019-20
Internal Service Funds (600),8580,8580,2017-18,actual-budgetary,budget-fy2021-22-vol1,266,"requirements from PDF p.268 of same doc; by-function summary p.267 (printed 260) still shows approved/adopted 8,552 - not updated for +13k contingency adjustment shown in Attachment A p.375",fy2021-22
IT Projects Debt Service Fund (307),2708,2708,2017-18,actual-budgetary,budget-fy2019-20-book,126,2019-20 columns printed as dash (fund winding down),fy2019-20
IT System Project Fund (407),1271,1271,2017-18,actual-budgetary,budget-fy2019-20-book,141,,fy2019-20
Partnership Funds (470),1016,1016,2017-18,actual-budgetary,budget-fy2019-20-book,156,2018-19 Budget column printed as dash,fy2019-20
PERS Rate Stabilization Reserve Fund (225),17209,17209,2017-18,actual-budgetary,budget-fy2019-20-book,110,,fy2019-20
PERS UAL Debt Service Fund (308),48782,48782,2017-18,actual-budgetary,budget-fy2019-20-book,128,,fy2019-20
Self Insurance Fund (601),8580,8580,2017-18,actual-budgetary,budget-fy2019-20-book,166,identical to 600 summary: Self Insurance is the only Internal Service fund,fy2019-20
Special Revenue Funds (200),130612,130612,2017-18,actual-budgetary,budget-fy2019-20-book,94,"resources p94, requirements p95; 1k res/req rounding gap in 2019-20 columns",fy2019-20
Special Revenue Funds (200),130612,130612,2017-18,actual-budgetary,budget-fy2021-22-vol1,165,requirements from PDF p.166 of same doc,fy2021-22
Student Body Activity Fund (201),11561,11561,2017-18,actual-budgetary,budget-fy2019-20-book,98,,fy2019-20
TOTAL ALL FUNDS,1537607,1537607,2017-18,actual-budgetary,budget-fy2021-22-vol1,142,"requirements from PDF p.143 of same doc; resolution 6323 (p.373) adopts total budget of $2,058,410,000",fy2021-22
Total District Budget (all funds),1612624.659,1612624.659,2017-18,revised,budget-fy2018-19-book,62,,fy2018-19
Total District Budget by Fund,,1586762.742,2017-18,proposed,budget-fy2017-18-book,65,,fy2017-18
Total District Budget by Fund,,1587755.079,2017-18,adopted,budget-fy2017-18-book,65,,fy2017-18
Total District Budget by Fund,,1587755.079,2017-18,approved,budget-fy2017-18-book,65,,fy2017-18
100 - General Fund,660592,660592,2018-19,actual-budgetary,budget-fy2020-21-vol1,117,GF summary p.117 (resources) / p.118 (requirements),fy2020-21
101 General Fund,650538.941,650538.941,2018-19,proposed,budget-fy2018-19-book,83,,fy2018-19
101 General Fund,655002.466,655002.466,2018-19,adopted,budget-fy2018-19-book,83,,fy2018-19
101 General Fund,655002.466,655002.466,2018-19,approved,budget-fy2018-19-book,83,,fy2018-19
201 - Student Body Activity Fund,11560,11560,2018-19,actual-budgetary,budget-fy2020-21-vol1,134,,fy2020-21
201 Student Body Activity Fund,13057.383,13057.383,2018-19,adopted,budget-fy2018-19-book,93,,fy2018-19
201 Student Body Activity Fund,13057.383,13057.383,2018-19,approved,budget-fy2018-19-book,93,,fy2018-19
201 Student Body Activity Fund,13057.383,13057.383,2018-19,proposed,budget-fy2018-19-book,93,,fy2018-19
202 - Cafeteria Fund,22244,22244,2018-19,actual-budgetary,budget-fy2020-21-vol1,137,,fy2020-21
202 Cafeteria Fund,21656.234,21656.234,2018-19,proposed,budget-fy2018-19-book,94,,fy2018-19
202 Cafeteria Fund,22106.234,22106.234,2018-19,adopted,budget-fy2018-19-book,94,,fy2018-19
202 Cafeteria Fund,22106.234,22106.234,2018-19,approved,budget-fy2018-19-book,94,,fy2018-19
205 - Grants Fund,66649,66649,2018-19,actual-budgetary,budget-fy2020-21-vol1,141,,fy2020-21
205 Grants Fund,66795.838,66795.838,2018-19,adopted,budget-fy2018-19-book,97,,fy2018-19
205 Grants Fund,66795.838,66795.838,2018-19,approved,budget-fy2018-19-book,97,,fy2018-19
205 Grants Fund,66795.838,66795.838,2018-19,proposed,budget-fy2018-19-book,97,,fy2018-19
225 - PERS Rate Stabilization Reserve Fund,17954,17954,2018-19,actual-budgetary,budget-fy2020-21-vol1,151,,fy2020-21
225 PERS Rate Stabilization Reserve Fund,17453.649,17453.649,2018-19,proposed,budget-fy2018-19-book,106,,fy2018-19
225 PERS Rate Stabilization Reserve Fund,17520.983,17520.983,2018-19,adopted,budget-fy2018-19-book,106,,fy2018-19
225 PERS Rate Stabilization Reserve Fund,17520.983,17520.983,2018-19,approved,budget-fy2018-19-book,106,,fy2018-19
251 - Student Investment Account Fund,0,0,2018-19,actual-budgetary,budget-fy2020-21-vol1,154,new fund in 2020-21 (Student Success Act / SIA); prior years printed as '-'; printed as '-',fy2020-21
299 - Dedicated Resource Fund,18537,18537,2018-19,actual-budgetary,budget-fy2020-21-vol1,158,,fy2020-21
299 Dedicated Resource Fund,10778.358,10778.358,2018-19,proposed,budget-fy2018-19-book,107,,fy2018-19
299 Dedicated Resource Fund,10828.358,10828.358,2018-19,adopted,budget-fy2018-19-book,107,,fy2018-19
299 Dedicated Resource Fund,10828.358,10828.358,2018-19,approved,budget-fy2018-19-book,107,,fy2018-19
307 - IT Projects Debt Service Fund,2708,2708,2018-19,actual-budgetary,budget-fy2020-21-vol1,175,2019-20 onward printed as '-' (no remaining budget),fy2020-21
307 IT Projects Debt Service Fund,2708.046,2708.046,2018-19,adopted,budget-fy2018-19-book,114,,fy2018-19
307 IT Projects Debt Service Fund,2708.046,2708.046,2018-19,approved,budget-fy2018-19-book,114,,fy2018-19
307 IT Projects Debt Service Fund,2708.046,2708.046,2018-19,proposed,budget-fy2018-19-book,114,,fy2018-19
308 - PERS UAL Debt Service Fund,49085,49085,2018-19,actual-budgetary,budget-fy2020-21-vol1,178,,fy2020-21
308 PERS UAL Debt Service Fund,49495.449,49495.449,2018-19,proposed,budget-fy2018-19-book,115,,fy2018-19
308 PERS UAL Debt Service Fund,50024.061,50024.061,2018-19,adopted,budget-fy2018-19-book,115,,fy2018-19
308 PERS UAL Debt Service Fund,50024.061,50024.061,2018-19,approved,budget-fy2018-19-book,115,,fy2018-19
320 - Full Faith and Credit Debt Service Fund,1847,1847,2018-19,actual-budgetary,budget-fy2020-21-vol1,181,,fy2020-21
320 Full Faith and Credit Debt Service Fund,1846.785,1846.785,2018-19,adopted,budget-fy2018-19-book,116,,fy2018-19
320 Full Faith and Credit Debt Service Fund,1846.785,1846.785,2018-19,approved,budget-fy2018-19-book,116,,fy2018-19
320 Full Faith and Credit Debt Service Fund,2053.659,2053.659,2018-19,proposed,budget-fy2018-19-book,116,,fy2018-19
350 - GO Bonds Debt Service Fund,130984,130984,2018-19,actual-budgetary,budget-fy2020-21-vol1,184,,fy2020-21
350 GO Bonds Debt Service Fund,122720.800,122720.800,2018-19,proposed,budget-fy2018-19-book,117,,fy2018-19
350 GO Bonds Debt Service Fund,123733.382,123733.382,2018-19,adopted,budget-fy2018-19-book,117,,fy2018-19
350 GO Bonds Debt Service Fund,123733.382,123733.382,2018-19,approved,budget-fy2018-19-book,117,,fy2018-19
404 - Construction Excise Fund,21902,21902,2018-19,actual-budgetary,budget-fy2020-21-vol1,191,,fy2020-21
404 Construction Excise Fund,20840.864,20840.864,2018-19,adopted,budget-fy2018-19-book,118,,fy2018-19
404 Construction Excise Fund,20840.864,20840.864,2018-19,approved,budget-fy2018-19-book,118,,fy2018-19
404 Construction Excise Fund,20840.864,20840.864,2018-19,proposed,budget-fy2018-19-book,118,,fy2018-19
407 - IT System Project Fund,788,788,2018-19,actual-budgetary,budget-fy2020-21-vol1,195,2020-21 printed as '-',fy2020-21
407 IT System Project Fund,774.699,774.699,2018-19,adopted,budget-fy2018-19-book,120,,fy2018-19
407 IT System Project Fund,774.699,774.699,2018-19,approved,budget-fy2018-19-book,120,,fy2018-19
407 IT System Project Fund,821.368,821.368,2018-19,proposed,budget-fy2018-19-book,120,,fy2018-19
420 - Full Faith and Credit Fund,5822,5822,2018-19,actual-budgetary,budget-fy2020-21-vol1,198,,fy2020-21
420 Full Faith and Credit Fund,4318.975,4318.975,2018-19,adopted,budget-fy2018-19-book,122,,fy2018-19
420 Full Faith and Credit Fund,4318.975,4318.975,2018-19,approved,budget-fy2018-19-book,122,,fy2018-19
420 Full Faith and Credit Fund,4318.975,4318.975,2018-19,proposed,budget-fy2018-19-book,122,,fy2018-19
435 - Energy Efficient Schools Fund,3173,3173,2018-19,actual-budgetary,budget-fy2020-21-vol1,202,,fy2020-21
435 Energy Efficient Schools Fund,2819.761,2819.761,2018-19,adopted,budget-fy2018-19-book,124,,fy2018-19
435 Energy Efficient Schools Fund,2819.761,2819.761,2018-19,approved,budget-fy2018-19-book,124,,fy2018-19
435 Energy Efficient Schools Fund,2819.761,2819.761,2018-19,proposed,budget-fy2018-19-book,124,,fy2018-19
438 - Facilities Capital Fund,7462,7462,2018-19,actual-budgetary,budget-fy2020-21-vol1,205,,fy2020-21
438 Facilities Capital Fund,19787.005,19787.005,2018-19,adopted,budget-fy2018-19-book,125,,fy2018-19
438 Facilities Capital Fund,19787.005,19787.005,2018-19,approved,budget-fy2018-19-book,125,,fy2018-19
438 Facilities Capital Fund,19787.005,19787.005,2018-19,proposed,budget-fy2018-19-book,125,,fy2018-19
445 - Capital Asset Renewal Fund,5763,5763,2018-19,actual-budgetary,budget-fy2020-21-vol1,209,,fy2020-21
445 Capital Asset Renewal Fund,5089.830,5089.830,2018-19,adopted,budget-fy2018-19-book,127,,fy2018-19
445 Capital Asset Renewal Fund,5089.830,5089.830,2018-19,approved,budget-fy2018-19-book,127,,fy2018-19
445 Capital Asset Renewal Fund,5089.830,5089.830,2018-19,proposed,budget-fy2018-19-book,127,,fy2018-19
450 - GO Bonds Fund,453748,453748,2018-19,actual-budgetary,budget-fy2020-21-vol1,212,Approved/Adopted include $1.0B placeholder for possible Nov 2020 bond measure,fy2020-21
450 GO Bonds Fund,479058.609,479058.609,2018-19,adopted,budget-fy2018-19-book,128,,fy2018-19
450 GO Bonds Fund,479058.609,479058.609,2018-19,approved,budget-fy2018-19-book,128,,fy2018-19
450 GO Bonds Fund,479058.609,479058.609,2018-19,proposed,budget-fy2018-19-book,128,,fy2018-19
470 - Partnership Funds,318,318,2018-19,actual-budgetary,budget-fy2020-21-vol1,217,,fy2020-21
470 Partnership Funds,0.000,0.000,2018-19,adopted,budget-fy2018-19-book,131,,fy2018-19
470 Partnership Funds,0.000,0.000,2018-19,approved,budget-fy2018-19-book,131,,fy2018-19
470 Partnership Funds,0.000,0.000,2018-19,proposed,budget-fy2018-19-book,131,,fy2018-19
601 - Self-Insurance Fund,9908,9908,2018-19,actual-budgetary,budget-fy2020-21-vol1,228,,fy2020-21
601 Self Insurance Fund,10653.980,10653.980,2018-19,proposed,budget-fy2018-19-book,132,,fy2018-19
601 Self Insurance Fund,10678.509,10678.509,2018-19,adopted,budget-fy2018-19-book,132,,fy2018-19
601 Self Insurance Fund,10678.509,10678.509,2018-19,approved,budget-fy2018-19-book,132,,fy2018-19
All Funds Total,1506992,1506992,2018-19,revised,budget-fy2019-20-book,73,"resources p73, requirements p74; res/req differ by rounding in 2019-20 columns per book's own rounding note",fy2019-20
Cafeteria Fund (202),22106,22106,2018-19,revised,budget-fy2019-20-book,100,requirements totals also printed p101,fy2019-20
Cafeteria Fund (202),22244,22244,2018-19,actual-budgetary,budget-fy2022-23-vol1,169,,fy2022-23
Capital Asset Renewal Fund (445),5090,5090,2018-19,revised,budget-fy2019-20-book,151,,fy2019-20
Capital Asset Renewal Fund (445),5763,5763,2018-19,actual-budgetary,budget-fy2022-23-vol1,240,requirements-by-object p241 prints 17110 for 2019-20 (rounding),fy2022-23
Capital Project Funds (400),498977,498977,2018-19,actual-budgetary,budget-fy2021-22-vol1,227,requirements from PDF p.229 of same doc,fy2021-22
Capital Projects Funds (400) [group total],498977,498976,2018-19,actual-budgetary,budget-fy2022-23-vol1,220,requirements from PDF p221 of same doc; 2018-19 resources 498977 vs requirements 498976 (rounding); Attachment A p358 prints adopted fund total 516865,fy2022-23
Capital Projects Funds (400),532690,532690,2018-19,revised,budget-fy2019-20-book,134,"resources p134, requirements p135",fy2019-20
Construction Excise Fund (404),20841,20841,2018-19,revised,budget-fy2019-20-book,138,requirements totals also printed p139,fy2019-20
Construction Excise Fund (404),21902,21902,2018-19,actual-budgetary,budget-fy2022-23-vol1,224,2020-21 resources 14679 vs requirements 14678; requirements-by-object p225 prints 21901 for 2018-19 (rounding),fy2022-23
Debt Service Funds (300) [group total],184625,184625,2018-19,actual-budgetary,budget-fy2022-23-vol1,201,requirements from PDF p202 of same doc; 2019-20 resources total prints 191558 vs requirements 191557 (rounding),fy2022-23
Debt Service Funds (300),178312,178312,2018-19,revised,budget-fy2019-20-book,120,"resources p120, requirements p121",fy2019-20
Debt Service Funds (300),184625,184625,2018-19,actual-budgetary,budget-fy2021-22-vol1,208,requirements from PDF p.209 of same doc,fy2021-22
Dedicated Resource Fund (299),10828,10828,2018-19,revised,budget-fy2019-20-book,112,,fy2019-20
Dedicated Resource Fund (299),18537,18537,2018-19,actual-budgetary,budget-fy2022-23-vol1,191,requirements from PDF p192 of same doc,fy2022-23
Energy Efficient Schools Fund (435),2820,2820,2018-19,revised,budget-fy2019-20-book,146,,fy2019-20
Energy Efficient Schools Fund (435),3173,3173,2018-19,actual-budgetary,budget-fy2022-23-vol1,234,requirements-by-object prints 3174 for 2018-19 (rounding),fy2022-23
Facilities Capital Fund (438),19787,19787,2018-19,revised,budget-fy2019-20-book,148,requirements totals also printed p149,fy2019-20
Facilities Capital Fund (438),7462,7462,2018-19,actual-budgetary,budget-fy2022-23-vol1,237,,fy2022-23
Full Faith and Credit Debt Service Fund (320),1847,1847,2018-19,actual-budgetary,budget-fy2022-23-vol1,214,,fy2022-23
Full Faith and Credit Debt Service Fund (320),1847,1847,2018-19,revised,budget-fy2019-20-book,130,,fy2019-20
Full Faith and Credit Fund (420),4319,4319,2018-19,revised,budget-fy2019-20-book,143,requirements totals also printed p144,fy2019-20
Full Faith and Credit Fund (420),5822,5821,2018-19,actual-budgetary,budget-fy2022-23-vol1,231,2018-19 resources 5822 vs requirements 5821 (rounding),fy2022-23
General Fund (100),655002,655002,2018-19,revised,budget-fy2019-20-book,82,"resources p82, requirements p83; approved/adopted res 691,769 vs req 691,767 is book rounding",fy2019-20
General Fund (100),660592,660592,2018-19,actual-budgetary,budget-fy2021-22-vol1,151,requirements from PDF p.152 of same doc,fy2021-22
General Fund (100),660592,660592,2018-19,actual-budgetary,budget-fy2022-23-vol1,149,"native unit thousands of dollars in source; 2021-22 column printed as 'Budget', recorded as adopted; requirements from PDF p150 of same doc; requirements-by-object table p151 prints 2019-20 total 709091 (rounding)",fy2022-23
GO Bonds Debt Service Fund (350),123733,123733,2018-19,revised,budget-fy2019-20-book,132,,fy2019-20
GO Bonds Debt Service Fund (350),130984,130984,2018-19,actual-budgetary,budget-fy2022-23-vol1,217,adopted reduced 4055 from approved via UEFB amendment (Attachment A p358); TSCC letter p362 flags GO bond tax estimate,fy2022-23
GO Bonds Fund (450),453748,453748,2018-19,actual-budgetary,budget-fy2022-23-vol1,244,,fy2022-23
GO Bonds Fund (450),479059,479059,2018-19,revised,budget-fy2019-20-book,153,requirements totals also printed p154,fy2019-20
Grants Fund (205),66649,66649,2018-19,actual-budgetary,budget-fy2022-23-vol1,173,requirements from PDF p174 of same doc; includes ESSER and High School Success / Measure 98 (pre-FY2025-26 sub-fund split),fy2022-23
Grants Fund (205),66796,66796,2018-19,revised,budget-fy2019-20-book,103,1k res/req rounding gap in 2019-20 columns,fy2019-20
Internal Service Funds (600) [group total],9908,9908,2018-19,actual-budgetary,budget-fy2022-23-vol1,257,requirements from PDF p258 of same doc; group summary prints 9908/9066 where Fund 601 detail prints 9909/9067 (rounding),fy2022-23
Internal Service Funds (600),10679,10679,2018-19,revised,budget-fy2019-20-book,162,"resources p162, requirements p163",fy2019-20
Internal Service Funds (600),9908,9908,2018-19,actual-budgetary,budget-fy2021-22-vol1,266,"requirements from PDF p.268 of same doc; by-function summary p.267 (printed 260) still shows approved/adopted 8,552 - not updated for +13k contingency adjustment shown in Attachment A p.375",fy2021-22
IT Projects Debt Service Fund (307),2708,2708,2018-19,actual-budgetary,budget-fy2022-23-vol1,208,no activity after 2018-19,fy2022-23
IT Projects Debt Service Fund (307),2708,2708,2018-19,revised,budget-fy2019-20-book,126,2019-20 columns printed as dash (fund winding down),fy2019-20
IT System Project Fund (407),775,775,2018-19,revised,budget-fy2019-20-book,141,,fy2019-20
IT System Project Fund (407),788,788,2018-19,actual-budgetary,budget-fy2022-23-vol1,228,no activity after 2019-20,fy2022-23
Partnership Funds (470),0,0,2018-19,revised,budget-fy2019-20-book,156,2018-19 Budget column printed as dash,fy2019-20
Partnership Funds (470),318,318,2018-19,actual-budgetary,budget-fy2022-23-vol1,248,no activity after 2019-20,fy2022-23
PERS Rate Stabilization Reserve Fund (225),17521,17521,2018-19,revised,budget-fy2019-20-book,110,,fy2019-20
PERS Rate Stabilization Reserve Fund (225),17954,17954,2018-19,actual-budgetary,budget-fy2022-23-vol1,184,,fy2022-23
PERS UAL Debt Service Fund (308),49085,49085,2018-19,actual-budgetary,budget-fy2022-23-vol1,211,,fy2022-23
PERS UAL Debt Service Fund (308),50024,50024,2018-19,revised,budget-fy2019-20-book,128,,fy2019-20
Self Insurance Fund (601),10679,10679,2018-19,revised,budget-fy2019-20-book,166,identical to 600 summary: Self Insurance is the only Internal Service fund,fy2019-20
Self Insurance Fund (601),9909,9908,2018-19,actual-budgetary,budget-fy2022-23-vol1,261,resources print 1k higher than requirements in 2018-19 and 2019-20 (rounding),fy2022-23
Special Revenue Funds (200) [group total],136944,136944,2018-19,actual-budgetary,budget-fy2022-23-vol1,162,requirements from PDF p163 of same doc,fy2022-23
Special Revenue Funds (200),130309,130309,2018-19,revised,budget-fy2019-20-book,94,"resources p94, requirements p95; 1k res/req rounding gap in 2019-20 columns",fy2019-20
Special Revenue Funds (200),136944,136944,2018-19,actual-budgetary,budget-fy2021-22-vol1,165,requirements from PDF p.166 of same doc,fy2021-22
Student Body Activity Fund (201),11560,11560,2018-19,actual-budgetary,budget-fy2022-23-vol1,166,,fy2022-23
Student Body Activity Fund (201),13057,13057,2018-19,revised,budget-fy2019-20-book,98,,fy2019-20
TOTAL ALL FUNDS,1491045,1491045,2018-19,actual-budgetary,budget-fy2021-22-vol1,142,"requirements from PDF p.143 of same doc; resolution 6323 (p.373) adopts total budget of $2,058,410,000",fy2021-22
