source,amount_k,fy,basis,doc_id,page,notes,fragment
Total Resources,592043.109,2016-17,approved,budget-fy2016-17-book,89,Total Resources by Account,fy2016-17
Total Resources,592600.18,2016-17,adopted,budget-fy2016-17-book,89,Total Resources by Account,fy2016-17
Total Resources,600300.820,2016-17,actual-budgetary,budget-fy2018-19-book,83,,fy2018-19
Total Resources,600301,2016-17,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
TOTAL RESOURCES,600301,2016-17,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
TOTAL,604905.161,2016-17,revised,budget-fy2017-18-book,89,,fy2017-18
Tuition (detail subtotal),76.444,2016-17,actual-budgetary,budget-fy2018-19-book,82,,fy2018-19
Tuition,185,2016-17,adopted,budget-fy2016-17-book,88,printed subtotal,fy2016-17
Tuition,185,2016-17,approved,budget-fy2016-17-book,88,printed subtotal,fy2016-17
Tuition,185,2016-17,proposed,budget-fy2016-17-book,88,printed subtotal,fy2016-17
Tuition,185.000,2016-17,revised,budget-fy2017-18-book,88,,fy2017-18
Charges for services,52953,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Charges for services,52953,2017,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
County and intermediate sources,17270,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
County and intermediate sources,17270,2017,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Extracurricular activities,7489,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Extracurricular activities,7489,2017,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal and state support,70667,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal and state support,70667,2017,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal stimulus,0,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only; printed as dash (zero)",acfr-statistical
Investment earnings,3930,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Investment earnings,3930,2017,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Local option taxes,84106,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Local option taxes,84106,2017,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Other,22414,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Other,22414,2017,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Property and other taxes,298114,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Property and other taxes,298114,2017,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State Common School Fund,6191,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State Common School Fund,6191,2017,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State School Fund,207182,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State School Fund,207182,2017,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Total revenues,770316,2017,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Total revenues,770316,2017,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
2000 - REVENUE - INTERMEDIATE SOURCES,13254,2017-18,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
2000 - Revenue - Intermediate Sources,13254,2017-18,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
2000 - Revenue - Intermediate Sources,13254,2017-18,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
3000 - REVENUE FROM STATE SOURCES,244959,2017-18,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
3000 - Revenue From State Sources,244959,2017-18,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
3000 - Revenue From State Sources,244959,2017-18,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
4000 - REVENUE FROM FEDERAL SOURCES,22,2017-18,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
4000 - Revenue From Federal Sources,22,2017-18,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
4000 - Revenue From Federal Sources,22,2017-18,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
5200 - INTERFUND TRANSFERS,1006,2017-18,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
5200 - Interfund Transfers,1006,2017-18,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
5200 - Interfund Transfers,1006,2017-18,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
ALL OTHER BUDGET RESOURCES,41,2017-18,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
All Other Budget Resources,41,2017-18,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
All Other Budget Resources,41,2017-18,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
Beginning Balance,20104.463,2017-18,revised,budget-fy2018-19-book,72,"native unit whole dollars; summary table folds acct 412000 ($8,400) and Food Service Sales ($105,000) into Other Local Sources vs the fund-detail classification on pp.82-83",fy2018-19
Beginning Fund Balance,19871.000,2017-18,adopted,budget-fy2017-18-book,87,,fy2017-18
Beginning Fund Balance,19871.000,2017-18,approved,budget-fy2017-18-book,87,,fy2017-18
Beginning Fund Balance,19871.000,2017-18,proposed,budget-fy2017-18-book,87,,fy2017-18
BEGINNING FUND BALANCE,20104,2017-18,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
Beginning Fund Balance,20104,2017-18,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
Beginning Fund Balance,20104,2017-18,actual-budgetary,budget-fy2021-22-vol1,151,native unit thousands of dollars; zero rows printed as dash,fy2021-22
CURRENT YEAR LOCAL OPTION PROPERTY TAXES,88405,2017-18,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
Current Year Local Option Property Taxes,88405,2017-18,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
Current Year Local Option Property Taxes,88405,2017-18,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
CURRENT YEAR PROPERTY TAXES OTHER THAN LOCAL OPTION,248707,2017-18,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
Current Year Property Taxes Other Than Local Option,248707,2017-18,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
Current Year Property Taxes Other Than Local Option,248707,2017-18,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
Earnings on Investment,1000.000,2017-18,adopted,budget-fy2017-18-book,88,,fy2017-18
Earnings on Investment,1000.000,2017-18,approved,budget-fy2017-18-book,88,,fy2017-18
Earnings on Investment,1000.000,2017-18,proposed,budget-fy2017-18-book,88,,fy2017-18
Earnings on Investment,3144.456,2017-18,revised,budget-fy2018-19-book,72,,fy2018-19
Extra-Curricular Activities,700.000,2017-18,adopted,budget-fy2017-18-book,88,,fy2017-18
Extra-Curricular Activities,700.000,2017-18,approved,budget-fy2017-18-book,88,,fy2017-18
Extra-Curricular Activities,700.000,2017-18,proposed,budget-fy2017-18-book,88,,fy2017-18
Extra-curricular Activities,705.941,2017-18,revised,budget-fy2018-19-book,72,,fy2018-19
Federal Sources,0.000,2017-18,adopted,budget-fy2017-18-book,89,,fy2017-18
Federal Sources,0.000,2017-18,approved,budget-fy2017-18-book,89,,fy2017-18
Federal Sources,0.000,2017-18,proposed,budget-fy2017-18-book,89,,fy2017-18
Federal Sources,0.000,2017-18,revised,budget-fy2018-19-book,72,,fy2018-19
Food Service Sales,103.923,2017-18,adopted,budget-fy2017-18-book,88,,fy2017-18
Food Service Sales,103.923,2017-18,approved,budget-fy2017-18-book,88,,fy2017-18
Food Service Sales,103.923,2017-18,proposed,budget-fy2017-18-book,88,,fy2017-18
Intermediate Sources,12030.000,2017-18,proposed,budget-fy2017-18-book,89,,fy2017-18
Intermediate Sources,13030.000,2017-18,adopted,budget-fy2017-18-book,89,,fy2017-18
Intermediate Sources,13030.000,2017-18,approved,budget-fy2017-18-book,89,,fy2017-18
Intermediate Sources,13253.414,2017-18,revised,budget-fy2018-19-book,72,,fy2018-19
Other Local Sources,7919.127,2017-18,revised,budget-fy2018-19-book,72,,fy2018-19
OTHER REVENUE FROM LOCAL SOURCES,17467,2017-18,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
Other Revenue From Local Sources,17467,2017-18,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
Other Revenue From Local Sources,17467,2017-18,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
Other Revenue from Local Sources,7838.037,2017-18,adopted,budget-fy2017-18-book,89,,fy2017-18
Other Revenue from Local Sources,7838.037,2017-18,approved,budget-fy2017-18-book,89,,fy2017-18
Other Revenue from Local Sources,7838.037,2017-18,proposed,budget-fy2017-18-book,89,,fy2017-18
Other Sources,1049.881,2017-18,revised,budget-fy2018-19-book,72,,fy2018-19
Other Sources,749.881,2017-18,adopted,budget-fy2017-18-book,89,,fy2017-18
Other Sources,749.881,2017-18,approved,budget-fy2017-18-book,89,,fy2017-18
Other Sources,749.881,2017-18,proposed,budget-fy2017-18-book,89,,fy2017-18
Revenue from Taxes,332152.000,2017-18,adopted,budget-fy2017-18-book,88,,fy2017-18
Revenue from Taxes,332152.000,2017-18,approved,budget-fy2017-18-book,88,,fy2017-18
Revenue from Taxes,332152.000,2017-18,proposed,budget-fy2017-18-book,88,,fy2017-18
Revenue from Taxes,342300.638,2017-18,revised,budget-fy2018-19-book,72,,fy2018-19
State Sources,241692.000,2017-18,adopted,budget-fy2017-18-book,89,,fy2017-18
State Sources,241692.000,2017-18,approved,budget-fy2017-18-book,89,,fy2017-18
State Sources,241692.000,2017-18,proposed,budget-fy2017-18-book,89,,fy2017-18
State Sources,242799.002,2017-18,revised,budget-fy2018-19-book,72,,fy2018-19
Total Resources,631466.922,2017-18,revised,budget-fy2018-19-book,72,,fy2018-19
Total Resources,633966,2017-18,actual-budgetary,budget-fy2019-20-book,82,,fy2019-20
TOTAL RESOURCES,633966,2017-18,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
TOTAL RESOURCES,633966,2017-18,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
TOTAL,616286.841,2017-18,proposed,budget-fy2017-18-book,89,,fy2017-18
TOTAL,617286.841,2017-18,adopted,budget-fy2017-18-book,89,,fy2017-18
TOTAL,617286.841,2017-18,approved,budget-fy2017-18-book,89,,fy2017-18
Tuition,150.000,2017-18,adopted,budget-fy2017-18-book,88,,fy2017-18
Tuition,150.000,2017-18,approved,budget-fy2017-18-book,88,,fy2017-18
Tuition,150.000,2017-18,proposed,budget-fy2017-18-book,88,,fy2017-18
Tuition,190.000,2017-18,revised,budget-fy2018-19-book,72,,fy2018-19
Charges for services,56836,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Charges for services,56836,2018,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
County and intermediate sources,17663,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
County and intermediate sources,17663,2018,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Extracurricular activities,7304,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Extracurricular activities,7304,2018,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal and state support,69771,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal and state support,69771,2018,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal stimulus,0,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only; printed as dash (zero)",acfr-statistical
Investment earnings,3392,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Investment earnings,3392,2018,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Local option taxes,89663,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Local option taxes,89663,2018,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Other,15471,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Other,15471,2018,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Property and other taxes,377578,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Property and other taxes,377578,2018,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State Common School Fund,5155,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State Common School Fund,5155,2018,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State School Fund,239804,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State School Fund,239804,2018,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Total revenues,882637,2018,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Total revenues,882637,2018,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
2000 - REVENUE - INTERMEDIATE SOURCES,13348,2018-19,revised,budget-fy2019-20-book,82,,fy2019-20
2000 - Revenue - Intermediate Sources,13494,2018-19,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
2000 - Revenue - Intermediate Sources,13494,2018-19,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
2000 - Revenue - Intermediate Sources,13494,2018-19,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
3000 - Revenue From State Sources,230628,2018-19,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
3000 - Revenue From State Sources,230628,2018-19,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
3000 - Revenue From State Sources,230628,2018-19,actual-budgetary,budget-fy2022-23-vol1,149,SSF General Support component in ssf.csv (p153 detail),fy2022-23
3000 - REVENUE FROM STATE SOURCES,238207,2018-19,revised,budget-fy2019-20-book,82,,fy2019-20
4000 - REVENUE FROM FEDERAL SOURCES,0,2018-19,revised,budget-fy2019-20-book,82,,fy2019-20
4000 - Revenue From Federal Sources,80,2018-19,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
4000 - Revenue From Federal Sources,80,2018-19,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
4000 - Revenue From Federal Sources,80,2018-19,actual-budgetary,budget-fy2022-23-vol1,149,p153 detail prints 2020-21 subtotal 17 vs 18 here (rounding),fy2022-23
5200 - Interfund Transfers,14,2018-19,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
5200 - Interfund Transfers,14,2018-19,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
5200 - Interfund Transfers,14,2018-19,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
5200 - INTERFUND TRANSFERS,50,2018-19,revised,budget-fy2019-20-book,82,,fy2019-20
ALL OTHER BUDGET RESOURCES,0,2018-19,revised,budget-fy2019-20-book,82,,fy2019-20
All Other Budget Resources,55,2018-19,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
All Other Budget Resources,55,2018-19,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
All Other Budget Resources,55,2018-19,actual-budgetary,budget-fy2022-23-vol1,149,proposed included 1000 accrued interest reclassified out at approval (p355),fy2022-23
Beginning Balance,33054.408,2018-19,proposed,budget-fy2018-19-book,72,,fy2018-19
Beginning Balance,34729.617,2018-19,adopted,budget-fy2018-19-book,72,,fy2018-19
Beginning Balance,34729.617,2018-19,approved,budget-fy2018-19-book,72,,fy2018-19
BEGINNING FUND BALANCE,34730,2018-19,revised,budget-fy2019-20-book,82,,fy2019-20
Beginning Fund Balance,38282,2018-19,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
Beginning Fund Balance,38282,2018-19,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
Beginning Fund Balance,38282,2018-19,actual-budgetary,budget-fy2022-23-vol1,149,"native unit thousands of dollars in source; 2021-22 column printed as 'Budget', recorded as adopted",fy2022-23
CURRENT YEAR LOCAL OPTION PROPERTY TAXES,93548,2018-19,revised,budget-fy2019-20-book,82,,fy2019-20
Current Year Local Option Property Taxes,94272,2018-19,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
Current Year Local Option Property Taxes,94272,2018-19,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
Current Year Local Option Property Taxes,94272,2018-19,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
CURRENT YEAR PROPERTY TAXES OTHER THAN LOCAL OPTION,256236,2018-19,revised,budget-fy2019-20-book,82,,fy2019-20
Current Year Property Taxes Other Than Local Option,257076,2018-19,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
Current Year Property Taxes Other Than Local Option,257076,2018-19,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
Current Year Property Taxes Other Than Local Option,257076,2018-19,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
Earnings on Investment,2895.398,2018-19,adopted,budget-fy2018-19-book,72,,fy2018-19
Earnings on Investment,2895.398,2018-19,approved,budget-fy2018-19-book,72,,fy2018-19
Earnings on Investment,2895.398,2018-19,proposed,budget-fy2018-19-book,72,,fy2018-19
Extra-curricular Activities,692.870,2018-19,proposed,budget-fy2018-19-book,72,,fy2018-19
Extra-curricular Activities,705.941,2018-19,adopted,budget-fy2018-19-book,72,,fy2018-19
Extra-curricular Activities,705.941,2018-19,approved,budget-fy2018-19-book,72,,fy2018-19
Federal Sources,0.000,2018-19,adopted,budget-fy2018-19-book,72,,fy2018-19
Federal Sources,0.000,2018-19,approved,budget-fy2018-19-book,72,,fy2018-19
Federal Sources,0.000,2018-19,proposed,budget-fy2018-19-book,72,,fy2018-19
Intermediate Sources,13348.234,2018-19,adopted,budget-fy2018-19-book,72,,fy2018-19
Intermediate Sources,13348.234,2018-19,approved,budget-fy2018-19-book,72,,fy2018-19
Intermediate Sources,13348.234,2018-19,proposed,budget-fy2018-19-book,72,,fy2018-19
Other Local Sources,7952.043,2018-19,proposed,budget-fy2018-19-book,72,,fy2018-19
Other Local Sources,8932.822,2018-19,adopted,budget-fy2018-19-book,72,,fy2018-19
Other Local Sources,8932.822,2018-19,approved,budget-fy2018-19-book,72,,fy2018-19
OTHER REVENUE FROM LOCAL SOURCES,18884,2018-19,revised,budget-fy2019-20-book,82,,fy2019-20
Other Revenue From Local Sources,26692,2018-19,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
Other Revenue From Local Sources,26692,2018-19,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
Other Revenue From Local Sources,26692,2018-19,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
Other Sources,0.000,2018-19,proposed,budget-fy2018-19-book,72,,fy2018-19
Other Sources,50.000,2018-19,adopted,budget-fy2018-19-book,72,,fy2018-19
Other Sources,50.000,2018-19,approved,budget-fy2018-19-book,72,,fy2018-19
Revenue from Taxes,355943.637,2018-19,adopted,budget-fy2018-19-book,72,,fy2018-19
Revenue from Taxes,355943.637,2018-19,approved,budget-fy2018-19-book,72,,fy2018-19
Revenue from Taxes,356025.337,2018-19,proposed,budget-fy2018-19-book,72,,fy2018-19
State Sources,236430.651,2018-19,proposed,budget-fy2018-19-book,72,,fy2018-19
State Sources,238206.817,2018-19,adopted,budget-fy2018-19-book,72,,fy2018-19
State Sources,238206.817,2018-19,approved,budget-fy2018-19-book,72,,fy2018-19
Total Resources,650538.941,2018-19,proposed,budget-fy2018-19-book,72,,fy2018-19
Total Resources,655002,2018-19,revised,budget-fy2019-20-book,82,,fy2019-20
Total Resources,655002.466,2018-19,adopted,budget-fy2018-19-book,72,,fy2018-19
Total Resources,655002.466,2018-19,approved,budget-fy2018-19-book,72,,fy2018-19
TOTAL RESOURCES,660592,2018-19,actual-budgetary,budget-fy2020-21-vol1,117,,fy2020-21
TOTAL RESOURCES,660592,2018-19,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
TOTAL RESOURCES,660592,2018-19,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
Tuition,140.000,2018-19,proposed,budget-fy2018-19-book,72,,fy2018-19
Tuition,190.000,2018-19,adopted,budget-fy2018-19-book,72,,fy2018-19
Tuition,190.000,2018-19,approved,budget-fy2018-19-book,72,,fy2018-19
Charges for services,56311,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Charges for services,56311,2019,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
County and intermediate sources,17362,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
County and intermediate sources,17362,2019,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Extracurricular activities,7191,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Extracurricular activities,7191,2019,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal and state support,81482,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal and state support,81482,2019,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal stimulus,0,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only; printed as dash (zero)",acfr-statistical
Investment earnings,19954,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Investment earnings,19954,2019,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Local option taxes,97188,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Local option taxes,97188,2019,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Other,13074,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Other,13074,2019,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Property and other taxes,398930,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Property and other taxes,398930,2019,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State Common School Fund,5493,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State Common School Fund,5493,2019,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State School Fund,225135,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State School Fund,225135,2019,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Total revenues,922120,2019,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Total revenues,922120,2019,actual-acfr,acfr-fy2025,129,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
2000 - REVENUE - INTERMEDIATE SOURCES,13357,2019-20,adopted,budget-fy2019-20-book,82,,fy2019-20
2000 - REVENUE - INTERMEDIATE SOURCES,13357,2019-20,approved,budget-fy2019-20-book,82,,fy2019-20
2000 - REVENUE - INTERMEDIATE SOURCES,13357,2019-20,proposed,budget-fy2019-20-book,82,,fy2019-20
2000 - Revenue - Intermediate Sources,13357,2019-20,revised,budget-fy2020-21-vol1,117,,fy2020-21
2000 - Revenue - Intermediate Sources,13768,2019-20,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
2000 - Revenue - Intermediate Sources,13768,2019-20,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
2000 - Revenue - Intermediate Sources,13768,2019-20,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
3000 - REVENUE FROM STATE SOURCES,255238,2019-20,proposed,budget-fy2019-20-book,82,,fy2019-20
3000 - REVENUE FROM STATE SOURCES,259360,2019-20,adopted,budget-fy2019-20-book,82,,fy2019-20
3000 - REVENUE FROM STATE SOURCES,259360,2019-20,approved,budget-fy2019-20-book,82,,fy2019-20
3000 - Revenue From State Sources,259360,2019-20,revised,budget-fy2020-21-vol1,117,,fy2020-21
3000 - Revenue From State Sources,271620,2019-20,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
3000 - Revenue From State Sources,271620,2019-20,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
3000 - Revenue From State Sources,271620,2019-20,actual-budgetary,budget-fy2023-24-vol1,94,includes SSF General Support and Common School Fund (detail p98),fy2023-24
4000 - REVENUE FROM FEDERAL SOURCES,0,2019-20,adopted,budget-fy2019-20-book,82,,fy2019-20
4000 - REVENUE FROM FEDERAL SOURCES,0,2019-20,approved,budget-fy2019-20-book,82,,fy2019-20
4000 - REVENUE FROM FEDERAL SOURCES,0,2019-20,proposed,budget-fy2019-20-book,82,,fy2019-20
4000 - Revenue From Federal Sources,0,2019-20,revised,budget-fy2020-21-vol1,117,printed as '-',fy2020-21
4000 - Revenue From Federal Sources,84,2019-20,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
4000 - Revenue From Federal Sources,84,2019-20,actual-budgetary,budget-fy2022-23-vol1,149,,fy2022-23
4000 - Revenue From Federal Sources,84,2019-20,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
5200 - Interfund Transfers,0,2019-20,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
5200 - Interfund Transfers,0,2019-20,actual-budgetary,budget-fy2023-24-vol1,94,,fy2023-24
5200 - INTERFUND TRANSFERS,2000,2019-20,adopted,budget-fy2019-20-book,82,,fy2019-20
5200 - INTERFUND TRANSFERS,2000,2019-20,approved,budget-fy2019-20-book,82,,fy2019-20
5200 - INTERFUND TRANSFERS,2000,2019-20,proposed,budget-fy2019-20-book,82,,fy2019-20
5200 - Interfund Transfers,2000,2019-20,revised,budget-fy2020-21-vol1,117,,fy2020-21
All Other Budget Resources,17,2019-20,actual-budgetary,budget-fy2021-22-vol1,151,,fy2021-22
