source,amount_k,fy,basis,doc_id,page,notes,fragment
Extracurricular activities,8308,2014,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal and state support,65231,2014,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal stimulus,155,2014,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Investment earnings,757,2014,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Local option taxes,56013,2014,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Other,13138,2014,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Property and other taxes,260872,2014,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State Common School Fund,4427,2014,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State School Fund,184690,2014,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Total revenues,661201,2014,actual-acfr,acfr-fy2020,121,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Beginning Fund Balance,51673.785,2014-15,actual-budgetary,budget-fy2016-17-book,87,account 376510,fy2016-17
Beginning Fund Balance,51673.785,2014-15,actual-budgetary,budget-fy2017-18-book,87,native unit whole dollars; subtotal lines of GF Resources by Account detail; Budget Overview GF summary (PDF p75) folds Food Service Sales into Other Local Sources (7838037+103923=7941960),fy2017-18
Common School Fund,4721.234,2014-15,actual-budgetary,budget-fy2016-17-book,89,account 431030; component of State Sources,fy2016-17
Earnings on Investment,715.795,2014-15,actual-budgetary,budget-fy2016-17-book,88,printed subtotal,fy2016-17
Earnings on Investment,715.795,2014-15,actual-budgetary,budget-fy2017-18-book,88,,fy2017-18
Extra-curricular Activities,656.892,2014-15,actual-budgetary,budget-fy2016-17-book,88,printed subtotal,fy2016-17
Extra-Curricular Activities,656.892,2014-15,actual-budgetary,budget-fy2017-18-book,88,,fy2017-18
Federal Sources,59.685,2014-15,actual-budgetary,budget-fy2016-17-book,89,printed subtotal; 2016/17 columns printed as dash (zero),fy2016-17
Federal Sources,59.685,2014-15,actual-budgetary,budget-fy2017-18-book,89,,fy2017-18
Food Service Sales,0.000,2014-15,actual-budgetary,budget-fy2017-18-book,88,,fy2017-18
Intermediate Sources,12679.005,2014-15,actual-budgetary,budget-fy2016-17-book,89,printed subtotal,fy2016-17
Intermediate Sources,12679.005,2014-15,actual-budgetary,budget-fy2017-18-book,89,,fy2017-18
Other Revenue from Local Sources,9837.991,2014-15,actual-budgetary,budget-fy2016-17-book,89,printed subtotal,fy2016-17
Other Revenue from Local Sources,9837.991,2014-15,actual-budgetary,budget-fy2017-18-book,89,,fy2017-18
Other Sources,43.855,2014-15,actual-budgetary,budget-fy2016-17-book,89,printed subtotal,fy2016-17
Other Sources,43.855,2014-15,actual-budgetary,budget-fy2017-18-book,89,,fy2017-18
Revenue from Taxes,285186.236,2014-15,actual-budgetary,budget-fy2016-17-book,88,printed subtotal,fy2016-17
Revenue from Taxes,285186.236,2014-15,actual-budgetary,budget-fy2017-18-book,88,,fy2017-18
State School Fund General Support,179505.339,2014-15,actual-budgetary,budget-fy2016-17-book,89,account 431010; component of State Sources,fy2016-17
State Sources,184226.573,2014-15,actual-budgetary,budget-fy2016-17-book,89,printed subtotal,fy2016-17
State Sources,184226.573,2014-15,actual-budgetary,budget-fy2017-18-book,89,,fy2017-18
Total Resources,545228.731,2014-15,actual-budgetary,budget-fy2016-17-book,89,Total Resources by Account,fy2016-17
TOTAL,545228.731,2014-15,actual-budgetary,budget-fy2017-18-book,89,,fy2017-18
Tuition,148.914,2014-15,actual-budgetary,budget-fy2016-17-book,88,printed subtotal,fy2016-17
Tuition,148.914,2014-15,actual-budgetary,budget-fy2017-18-book,88,,fy2017-18
Charges for services,54233,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
County and intermediate sources,15201,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Extracurricular activities,8276,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal and state support,75793,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Federal stimulus,0,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only; printed as dash (zero)",acfr-statistical
Investment earnings,1255,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Local option taxes,63274,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Other,15414,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
Property and other taxes,274219,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
State Common School Fund,4721,2015,actual-acfr,acfr-fy2020,122,"scope: ALL governmental funds (Sch 4), not GF-only",acfr-statistical
