ssf_total_k,gp_grant_k,local_revenue_offset_k,fy,basis,doc_id,page,notes
211252.753,,,2015-16,actual-budgetary,budget-fy2018-19-book,83,acct 431010 SSF--General Support (General Fund); native unit whole dollars; book prints no general purpose grant / local revenue offset breakdown
207182.021,,,2016-17,actual-budgetary,budget-fy2018-19-book,83,
237644.188,,,2017-18,revised,budget-fy2018-19-book,83,
231526.915,,,2018-19,proposed,budget-fy2018-19-book,83,
233304.795,,,2018-19,approved,budget-fy2018-19-book,83,
233304.795,,,2018-19,adopted,budget-fy2018-19-book,83,
